,line,day_of_week,hour,day,month,count
0,D,2,14,19,8,6
1,F,3,9,20,8,15
2,Q,6,14,23,8,7
3,7,1,12,11,8,2
4,N,0,3,24,8,2
5,D,0,10,24,8,5
6,A,5,18,8,8,5
7,Q,0,7,31,8,4
8,M,1,12,25,8,17
9,E,0,8,17,8,7
10,G,6,17,30,8,1
11,L,3,12,6,8,2
12,D,0,10,31,8,8
13,E,3,18,20,8,15
14,F,4,3,14,8,3
15,Q,2,19,5,8,8
16,N,3,13,20,8,13
17,5,1,19,18,8,2
18,A,6,12,23,8,9
19,4,0,19,24,8,3
20,Q,6,4,9,8,6
21,R,3,17,13,8,10
22,F,4,10,28,8,9
23,4,1,15,11,8,1
24,M,1,0,25,8,5
25,GS,4,23,28,8,1
26,J,6,10,9,8,1
27,7,4,23,28,8,3
28,6,5,9,22,8,10
29,R,5,9,15,8,8
30,3,4,3,21,8,1
31,M,0,18,10,8,7
32,Q,2,4,5,8,4
33,6,1,14,18,8,9
34,4,3,15,13,8,2
35,5,6,11,23,8,3
36,R,4,10,28,8,9
37,Q,1,16,25,8,8
38,5,6,6,2,8,2
39,F,2,15,26,8,7
40,7,0,9,31,8,4
41,L,6,21,23,8,1
42,N,5,6,15,8,2
43,3,6,16,23,8,4
44,3,6,10,16,8,5
45,Q,0,15,31,8,17
46,D,1,16,25,8,5
47,Q,5,15,22,8,8
48,6,0,22,17,8,7
49,6,6,21,2,8,7
50,E,5,12,1,8,21
51,E,0,14,24,8,5
52,J,1,1,4,8,1
53,D,6,19,16,8,5
54,Q,1,3,4,8,1
55,Z,3,14,27,8,1
56,M,4,12,28,8,58
57,A,0,21,3,8,6
58,R,6,6,9,8,4
59,N,1,7,11,8,8
60,N,0,22,10,8,13
61,R,5,7,29,8,2
62,Q,0,21,24,8,9
63,1,2,4,26,8,2
64,1,4,9,21,8,10
65,M,0,0,31,8,3
66,1,0,18,31,8,16
67,A,2,19,12,8,8
68,L,3,7,20,8,1
69,E,2,21,26,8,18
70,3,4,16,14,8,1
71,1,4,14,28,8,14
72,D,0,9,3,8,7
73,N,0,2,31,8,1
74,R,2,2,19,8,5
75,1,4,7,14,8,10
76,A,2,23,26,8,11
77,7,2,20,26,8,3
78,F,4,7,21,8,3
79,A,0,13,10,8,13
80,F,1,3,18,8,2
81,6,5,17,1,8,15
82,A,1,17,11,8,10
83,D,6,3,23,8,3
84,C,6,23,9,8,13
85,2,4,6,28,8,4
86,2,1,20,25,8,3
87,E,5,10,8,8,12
88,2,0,6,17,8,3
89,5,3,15,13,8,2
90,1,3,1,13,8,9
91,F,5,21,29,8,16
92,A,4,16,7,8,7
93,Q,5,23,22,8,7
94,3,4,2,14,8,4
95,F,2,17,19,8,8
96,2,1,6,4,8,3
97,R,5,8,1,8,9
98,L,2,5,26,8,1
99,7,4,5,7,8,1
100,D,0,21,24,8,8
101,D,6,12,30,8,7
102,4,1,20,11,8,4
103,A,6,0,9,8,14
104,M,4,9,7,8,6
105,FS,6,0,23,8,1
106,1,5,20,8,8,13
107,4,0,13,24,8,1
108,D,3,9,20,8,7
109,1,6,4,2,8,7
110,M,4,15,28,8,4
111,2,2,13,5,8,3
112,A,2,21,12,8,9
113,6,2,7,19,8,7
114,Q,5,8,22,8,12
115,6,2,12,26,8,20
116,N,2,18,19,8,11
117,E,4,21,14,8,14
118,4,6,16,30,8,1
119,R,4,2,28,8,4
120,2,2,9,19,8,1
121,Q,0,0,10,8,6
122,E,5,8,29,8,4
123,L,3,20,6,8,2
124,R,0,18,24,8,20
125,C,1,10,11,8,19
126,L,6,17,2,8,1
127,Q,0,18,17,8,10
128,1,3,4,27,8,4
129,3,3,5,6,8,1
130,L,3,3,13,8,1
131,4,1,0,4,8,3
132,2,2,1,12,8,1
133,R,4,12,28,8,8
134,5,6,16,30,8,1
135,1,2,5,5,8,2
136,R,0,12,17,8,8
137,1,0,12,10,8,6
138,R,5,14,8,8,22
139,A,0,3,24,8,3
140,N,4,19,28,8,16
141,Z,6,19,30,8,2
142,6,4,15,7,8,8
143,6,6,17,9,8,11
144,L,0,2,3,8,2
145,E,3,19,6,8,12
146,4,0,14,24,8,2
147,6,0,17,31,8,12
148,7,5,9,8,8,6
149,3,3,4,27,8,1
150,L,0,20,17,8,2
151,Q,6,19,2,8,9
152,N,3,17,13,8,10
153,A,4,9,28,8,11
154,Z,1,4,11,8,1
155,6,5,19,29,8,24
156,C,3,20,27,8,17
157,Q,2,10,26,8,7
158,3,0,4,31,8,2
159,1,1,4,11,8,4
160,A,5,22,22,8,12
161,Q,5,0,29,8,4
162,4,6,12,2,8,2
163,N,5,2,1,8,5
164,1,3,13,20,8,15
165,N,2,10,19,8,4
166,A,1,2,25,8,5
167,A,3,11,27,8,9
168,E,1,20,11,8,7
169,A,4,7,28,8,7
170,Q,0,4,24,8,1
171,Q,1,10,4,8,4
172,M,3,7,27,8,9
173,3,2,3,19,8,4
174,E,0,4,31,8,1
175,F,5,19,22,8,18
176,Q,4,5,7,8,3
177,A,2,7,12,8,7
178,E,1,12,11,8,10
179,L,5,1,1,8,7
180,1,4,18,28,8,14
181,N,2,18,26,8,12
182,L,2,1,5,8,2
183,4,5,6,1,8,1
184,3,2,1,12,8,1
185,6,1,2,4,8,2
186,C,6,17,23,8,28
187,GS,4,13,28,8,1
188,L,0,20,31,8,2
189,J,6,10,16,8,2
190,N,4,21,28,8,16
191,4,2,18,5,8,3
192,7,0,9,17,8,6
193,GS,6,22,9,8,2
194,4,4,11,14,8,5
195,D,1,20,25,8,7
196,Z,5,7,22,8,1
197,3,2,20,19,8,4
198,GS,1,8,25,8,1
199,1,3,3,13,8,3
200,6,5,4,1,8,2
201,E,0,23,24,8,4
202,5,3,16,6,8,1
203,Z,5,6,22,8,1
204,7,2,7,26,8,3
205,Q,4,0,21,8,9
206,3,6,19,23,8,3
207,5,5,11,15,8,14
208,N,5,11,1,8,11
209,L,1,11,18,8,1
210,1,1,12,11,8,14
211,L,3,11,13,8,1
212,6,4,22,28,8,8
213,M,4,18,21,8,10
214,M,1,15,11,8,12
215,4,0,22,31,8,2
216,5,4,10,21,8,2
217,R,5,6,8,8,5
218,F,1,23,25,8,11
219,A,5,14,1,8,12
220,2,6,12,2,8,3
221,R,2,15,19,8,14
222,N,5,18,22,8,20
223,4,2,9,12,8,1
224,5,0,5,17,8,1
225,3,3,0,20,8,10
226,M,5,4,22,8,5
227,C,5,11,22,8,20
228,7,4,20,21,8,1
229,C,2,19,26,8,21
230,C,6,11,2,8,32
231,A,2,15,12,8,7
232,M,0,19,17,8,6
233,7,5,2,22,8,1
234,3,5,18,1,8,5
235,M,2,12,19,8,14
236,M,2,8,12,8,5
237,Q,0,8,10,8,4
238,F,6,17,16,8,7
239,L,3,9,27,8,3
240,2,5,13,8,8,1
241,E,1,17,25,8,9
242,R,1,4,11,8,2
243,2,2,8,19,8,3
244,F,1,13,18,8,18
245,4,6,9,16,8,2
246,1,0,4,17,8,5
247,6,1,0,4,8,5
248,R,6,19,16,8,5
249,R,0,9,24,8,9
250,Z,5,16,22,8,1
251,L,4,12,21,8,2
252,5,1,23,18,8,3
253,M,0,19,31,8,13
254,E,2,4,5,8,3
255,2,4,3,21,8,1
256,N,1,2,4,8,1
257,2,3,18,27,8,3
258,7,5,23,8,8,2
259,J,2,19,19,8,1
260,L,4,2,14,8,4
261,GS,6,0,9,8,1
262,N,4,12,7,8,7
263,C,0,23,3,8,18
264,N,3,8,27,8,6
265,A,2,17,5,8,4
266,Q,1,23,4,8,7
267,E,6,11,30,8,7
268,5,4,11,7,8,4
269,GS,0,16,3,8,1
270,7,4,13,21,8,1
271,2,3,17,27,8,4
272,Q,4,22,21,8,6
273,F,2,13,19,8,10
274,C,4,8,28,8,9
275,3,0,17,10,8,2
276,E,1,9,18,8,9
277,4,5,0,1,8,2
278,4,6,7,9,8,2
279,4,1,13,25,8,1
280,M,6,14,9,8,5
281,J,5,16,8,8,1
282,C,1,23,11,8,20
283,4,5,16,22,8,6
284,A,6,12,16,8,7
285,3,6,19,30,8,4
286,6,4,11,14,8,8
287,A,4,21,21,8,11
288,E,0,17,10,8,7
289,Q,5,2,29,8,5
290,E,4,17,7,8,6
291,5,1,15,18,8,3
292,Q,6,18,16,8,7
293,C,1,20,18,8,17
294,R,1,3,18,8,2
295,Q,2,10,19,8,2
296,2,0,19,10,8,3
297,GS,6,1,23,8,1
298,N,1,20,11,8,16
299,4,6,4,30,8,1
300,E,2,7,26,8,8
301,4,2,1,12,8,1
302,6,6,6,2,8,7
303,Q,0,17,17,8,7
304,D,5,10,29,8,2
305,5,6,0,2,8,2
306,6,3,10,13,8,16
307,6,6,21,23,8,12
308,L,2,2,26,8,2
309,D,6,16,9,8,2
310,J,1,10,25,8,1
311,N,0,14,17,8,15
312,Q,4,10,7,8,4
313,3,5,16,29,8,1
314,N,4,18,14,8,7
315,6,5,18,8,8,20
316,F,6,9,16,8,7
317,5,2,5,12,8,1
318,D,6,2,16,8,5
319,L,3,6,20,8,1
320,L,6,8,9,8,1
321,5,3,17,20,8,5
322,7,3,12,20,8,4
323,F,5,3,15,8,5
324,GS,5,23,8,8,1
325,D,5,18,22,8,6
326,A,0,10,10,8,10
327,M,5,3,29,8,9
328,7,4,14,21,8,2
329,D,2,4,12,8,2
330,A,3,10,6,8,9
331,6,2,8,5,8,15
332,N,4,4,21,8,2
333,D,0,13,10,8,7
334,A,5,3,1,8,4
335,Z,3,1,27,8,2
336,A,6,6,23,8,3
337,M,3,23,20,8,8
338,E,5,1,22,8,14
339,2,3,10,20,8,1
340,E,3,10,6,8,9
341,Q,5,20,15,8,10
342,6,2,12,19,8,14
343,E,6,19,16,8,17
344,4,0,7,10,8,1
345,D,0,9,24,8,6
346,GS,5,1,8,8,1
347,2,2,5,26,8,1
348,L,6,9,30,8,1
349,4,5,11,15,8,16
350,E,3,22,27,8,12
351,1,0,21,3,8,15
352,F,3,15,20,8,11
353,C,2,12,12,8,19
354,L,0,1,17,8,1
355,2,6,21,16,8,5
356,4,2,10,12,8,1
357,N,6,3,16,8,6
358,C,3,20,6,8,28
359,4,3,19,20,8,3
360,D,3,9,27,8,8
361,1,2,19,12,8,11
362,R,2,17,12,8,15
363,M,2,19,19,8,11
364,F,0,20,3,8,14
365,4,3,5,27,8,1
366,J,6,15,23,8,1
367,A,4,10,21,8,9
368,2,0,19,17,8,3
369,R,4,15,7,8,10
370,GS,0,16,24,8,3
371,M,0,9,17,8,12
372,1,4,6,7,8,6
373,C,2,6,26,8,10
374,D,0,17,31,8,5
375,1,1,17,11,8,11
376,L,4,23,28,8,4
377,C,6,17,9,8,23
378,M,6,10,23,8,9
379,6,4,3,14,8,1
380,2,1,18,11,8,2
381,M,0,9,24,8,10
382,R,0,9,17,8,6
383,C,6,16,9,8,13
384,2,6,5,23,8,1
385,5,0,16,17,8,2
386,R,1,7,4,8,9
387,E,6,18,2,8,20
388,7,4,16,21,8,2
389,D,5,3,1,8,5
390,D,4,0,21,8,6
391,1,1,18,18,8,17
392,Q,2,9,26,8,3
393,E,1,13,18,8,9
394,Q,0,17,10,8,3
395,M,6,6,9,8,2
396,D,4,19,21,8,11
397,G,3,4,13,8,1
398,C,4,17,7,8,12
399,N,4,4,28,8,1
400,A,4,21,28,8,9
401,7,5,6,8,8,1
402,4,1,6,18,8,1
403,5,1,14,11,8,4
404,C,6,8,2,8,16
405,R,5,15,22,8,17
406,L,4,7,7,8,1
407,5,4,8,21,8,3
408,D,1,9,11,8,8
409,1,4,2,7,8,8
410,7,2,18,19,8,3
411,Z,4,7,28,8,1
412,6,4,2,28,8,1
413,7,1,18,18,8,1
414,7,0,13,31,8,2
415,D,0,8,31,8,9
416,D,1,17,11,8,7
417,D,3,12,13,8,15
418,E,6,5,2,8,2
419,Q,2,9,19,8,5
420,6,4,20,21,8,11
421,Q,1,4,18,8,1
422,3,3,12,13,8,4
423,C,1,12,18,8,21
424,E,0,5,24,8,3
425,M,5,16,29,8,9
426,GS,5,9,8,8,1
427,A,1,17,18,8,8
428,M,0,14,17,8,7
429,5,4,22,7,8,1
430,Q,4,19,7,8,15
431,2,4,18,14,8,1
432,M,3,1,13,8,6
433,N,0,21,24,8,16
434,E,3,23,6,8,20
435,7,3,8,13,8,5
436,R,5,6,1,8,4
437,3,6,16,30,8,5
438,C,3,22,27,8,18
439,D,0,20,3,8,9
440,7,6,0,2,8,2
441,N,1,4,4,8,1
442,R,5,10,29,8,17
443,F,5,18,15,8,8
444,Q,0,21,17,8,5
445,6,5,3,15,8,5
446,E,2,2,19,8,1
447,4,6,0,16,8,2
448,1,6,1,2,8,14
449,M,4,15,21,8,8
450,E,5,13,1,8,24
451,R,2,9,5,8,12
452,J,0,9,10,8,1
453,D,0,20,10,8,3
454,C,3,13,13,8,18
455,M,6,1,2,8,12
456,L,2,7,19,8,3
457,D,4,3,28,8,2
458,5,3,11,20,8,4
459,6,3,6,20,8,10
460,M,6,18,23,8,9
461,6,6,17,30,8,10
462,N,3,14,13,8,12
463,1,2,21,12,8,18
464,E,1,14,11,8,10
465,D,4,10,14,8,7
466,Q,0,9,17,8,2
467,3,2,3,26,8,3
468,G,6,1,23,8,1
469,A,5,1,29,8,15
470,7,0,12,31,8,1
471,3,2,18,5,8,4
472,1,0,13,3,8,11
473,Q,4,1,14,8,2
474,7,5,8,29,8,1
475,Z,3,15,6,8,2
476,2,1,21,18,8,4
477,7,0,0,31,8,2
478,3,2,10,5,8,2
479,6,4,20,14,8,12
480,3,1,18,11,8,2
481,C,6,22,9,8,9
482,7,1,8,25,8,1
483,A,0,10,17,8,3
484,A,4,1,28,8,4
485,3,3,6,27,8,2
486,M,4,22,21,8,6
487,7,1,8,4,8,3
488,1,0,3,31,8,3
489,F,1,14,11,8,17
490,1,3,19,27,8,14
491,C,6,20,16,8,18
492,D,3,14,13,8,14
493,R,0,16,17,8,11
494,2,2,13,12,8,2
495,1,3,4,20,8,1
496,C,0,15,3,8,15
497,F,2,4,26,8,3
498,N,5,4,8,8,8
499,A,2,6,19,8,2
500,D,1,13,18,8,11
501,A,5,14,15,8,5
502,Z,5,19,22,8,1
503,GS,6,17,30,8,1
504,2,3,21,13,8,2
505,E,3,9,6,8,9
506,3,6,3,2,8,1
507,M,0,20,10,8,14
508,M,5,17,8,8,13
509,F,6,11,2,8,22
510,4,6,17,23,8,1
511,7,2,11,19,8,3
512,N,1,23,25,8,16
513,3,2,17,26,8,2
514,M,5,9,1,8,12
515,N,2,3,19,8,2
516,E,4,22,14,8,13
517,F,3,12,13,8,24
518,E,3,15,13,8,5
519,A,5,16,22,8,5
520,4,6,6,2,8,2
521,A,0,3,17,8,1
