,line,day_of_week,hour,day,month,count
0,A,4,0,24,6,9
1,Q,6,10,19,6,5
2,J,3,7,9,6,1
3,2,2,6,8,6,3
4,M,1,10,7,6,12
5,M,3,0,9,6,11
6,J,0,14,6,6,2
7,N,3,18,23,6,15
8,D,2,20,15,6,10
9,1,0,2,20,6,4
10,2,3,15,2,6,1
11,F,6,22,5,6,7
12,E,3,22,16,6,20
13,N,4,3,10,6,3
14,A,1,18,28,6,13
15,2,0,0,6,6,2
16,E,5,18,25,6,15
17,Q,4,5,3,6,1
18,6,2,10,1,6,12
19,3,3,1,2,6,4
20,4,4,7,10,6,3
21,7,2,16,29,6,2
22,L,2,8,29,6,1
23,E,4,8,17,6,11
24,1,3,22,9,6,16
25,2,6,11,19,6,2
26,N,3,21,2,6,14
27,6,1,13,14,6,11
28,F,1,8,7,6,6
29,1,3,10,30,6,12
30,N,2,5,8,6,6
31,L,3,2,9,6,1
32,5,5,9,18,6,9
33,F,6,18,26,6,7
34,L,5,11,18,6,2
35,N,0,4,13,6,2
36,1,2,16,1,6,17
37,6,2,8,15,6,7
38,C,4,17,24,6,9
39,3,3,10,16,6,1
40,R,5,21,25,6,16
41,C,0,15,13,6,12
42,Z,5,13,11,6,3
43,6,4,10,24,6,5
44,Q,4,1,3,6,9
45,A,2,5,22,6,2
46,G,4,23,10,6,1
47,F,1,20,7,6,12
48,J,5,10,4,6,1
49,3,3,13,2,6,3
50,N,3,23,9,6,4
51,6,6,10,19,6,6
52,F,5,0,4,6,14
53,F,3,4,2,6,1
54,L,6,16,5,6,4
55,6,6,13,5,6,10
56,A,4,10,3,6,9
57,2,2,1,8,6,2
58,R,5,20,4,6,12
59,J,5,17,4,6,1
60,F,6,17,5,6,5
61,E,1,0,21,6,15
62,R,2,13,1,6,12
63,E,4,8,10,6,14
64,M,2,10,22,6,12
65,N,5,4,25,6,2
66,7,0,3,13,6,1
67,R,0,15,27,6,15
68,1,5,18,11,6,21
69,C,1,21,28,6,12
70,G,2,21,15,6,3
71,5,5,15,25,6,1
72,Q,5,1,25,6,9
73,1,6,11,19,6,17
74,1,3,19,30,6,11
75,M,6,23,26,6,5
76,6,2,8,8,6,12
77,Q,6,7,26,6,3
78,F,6,17,26,6,4
79,3,6,15,19,6,7
80,2,5,5,25,6,2
81,D,4,11,10,6,8
82,F,1,19,21,6,10
83,2,5,17,4,6,4
84,R,6,10,19,6,7
85,R,0,17,20,6,20
86,Q,1,15,14,6,8
87,2,2,10,1,6,5
88,3,4,2,17,6,2
89,7,3,14,30,6,2
90,1,3,7,30,6,7
91,7,6,20,12,6,1
92,Q,0,6,13,6,7
93,6,4,21,24,6,6
94,N,1,17,7,6,9
95,N,3,15,9,6,9
96,C,1,17,7,6,13
97,R,6,8,19,6,2
98,2,5,13,4,6,7
99,6,1,14,21,6,11
100,M,4,2,24,6,5
101,D,3,15,2,6,11
102,3,2,15,8,6,1
103,Q,3,19,16,6,8
104,3,6,13,26,6,8
105,N,3,17,9,6,5
106,E,2,5,22,6,3
107,4,5,9,4,6,3
108,R,5,0,18,6,14
109,F,2,15,29,6,10
110,D,0,11,13,6,9
111,6,5,1,25,6,5
112,C,1,13,7,6,16
113,GS,5,22,4,6,1
114,4,0,20,27,6,4
115,4,3,12,16,6,6
116,5,2,8,22,6,2
117,E,2,7,22,6,6
118,C,5,22,25,6,20
119,5,1,14,28,6,5
120,E,0,23,27,6,17
121,A,2,3,15,6,4
122,Q,3,23,23,6,3
123,M,0,6,6,6,7
124,A,3,1,2,6,1
125,7,2,9,1,6,3
126,F,5,10,11,6,11
127,M,3,0,30,6,6
128,D,4,20,24,6,1
129,R,0,20,13,6,13
130,E,0,16,13,6,10
131,6,4,6,24,6,4
132,3,1,6,21,6,7
133,6,1,8,21,6,16
134,A,6,21,19,6,9
