,line,day_of_week,hour,day,month,count
0,D,3,17,5,11,8
1,2,6,0,29,11,1
2,Q,1,3,10,11,1
3,1,0,2,16,11,5
4,R,1,0,10,11,6
5,J,0,14,9,11,2
6,7,0,15,23,11,2
7,R,2,16,11,11,4
8,Q,3,18,5,11,12
9,3,1,13,10,11,2
10,1,6,16,22,11,13
11,R,3,10,26,11,7
12,M,4,11,27,11,11
13,N,3,21,5,11,11
14,4,4,17,6,11,2
15,F,3,3,5,11,1
16,3,2,10,18,11,4
17,6,1,7,17,11,7
18,M,4,8,6,11,4
19,5,1,17,10,11,2
20,1,6,3,15,11,10
21,1,6,19,29,11,12
22,Q,1,18,17,11,9
23,R,5,0,14,11,10
24,A,1,13,24,11,8
25,J,0,23,2,11,1
26,Q,3,10,5,11,7
27,D,0,5,16,11,5
28,A,3,1,12,11,5
29,3,3,20,5,11,4
30,E,5,5,14,11,4
31,E,1,14,17,11,14
32,3,5,22,21,11,4
33,A,2,19,25,11,9
34,4,3,7,5,11,2
35,E,4,11,27,11,7
36,6,5,9,21,11,15
37,E,4,1,13,11,9
38,2,2,23,4,11,6
39,A,3,19,26,11,1
40,Q,6,14,22,11,17
41,GS,2,13,11,11,1
42,Z,0,13,16,11,1
43,GS,3,17,12,11,1
44,Q,5,13,14,11,18
45,6,5,0,14,11,11
46,4,4,1,6,11,1
47,F,3,19,19,11,5
48,4,6,15,22,11,6
49,5,5,12,7,11,6
50,5,3,17,12,11,1
51,5,1,1,10,11,1
52,A,6,8,8,11,4
53,1,3,2,5,11,3
54,2,1,0,24,11,1
55,6,0,23,2,11,4
56,D,3,23,19,11,4
57,R,0,7,16,11,7
58,M,2,14,18,11,10
59,E,1,0,17,11,4
60,D,3,6,26,11,1
61,E,2,19,11,11,11
62,C,6,13,15,11,25
63,N,2,8,11,11,7
64,E,5,21,14,11,10
65,7,4,6,20,11,10
66,A,2,3,25,11,4
67,F,0,12,23,11,16
68,R,1,17,3,11,11
69,F,6,6,15,11,1
70,C,2,18,4,11,19
71,M,0,16,16,11,11
72,N,6,8,15,11,5
73,2,2,1,18,11,2
74,GS,5,8,7,11,1
75,4,6,1,8,11,3
76,N,3,8,12,11,8
77,N,1,7,3,11,3
78,3,4,10,6,11,3
79,R,3,17,19,11,6
80,7,6,8,8,11,2
81,6,0,17,30,11,10
82,C,6,9,29,11,16
83,3,1,14,17,11,4
84,E,6,15,29,11,15
85,Q,6,13,15,11,8
86,7,4,20,20,11,1
87,E,2,21,25,11,11
88,F,4,23,6,11,14
89,A,6,10,22,11,11
90,4,6,17,8,11,2
91,6,0,7,2,11,10
92,R,0,23,16,11,11
93,D,3,14,12,11,10
94,F,3,15,5,11,8
95,1,2,16,18,11,9
96,7,0,20,2,11,2
97,Z,3,16,26,11,1
98,C,6,7,15,11,7
99,D,0,7,16,11,1
100,2,0,21,2,11,2
101,6,5,1,21,11,10
102,1,5,13,14,11,14
103,3,6,19,1,11,5
104,E,2,7,25,11,7
105,M,4,13,13,11,12
106,N,4,16,27,11,25
107,N,4,10,13,11,4
108,N,2,23,18,11,5
109,N,6,22,29,11,13
110,1,3,18,5,11,14
111,A,0,9,9,11,4
112,L,2,14,11,11,1
113,4,1,4,24,11,9
114,5,1,8,3,11,1
115,Q,2,13,25,11,11
116,2,2,22,25,11,2
117,C,0,12,30,11,13
118,4,1,14,24,11,1
119,N,0,19,2,11,17
120,Z,6,18,15,11,1
121,1,0,19,9,11,23
122,L,3,10,12,11,2
123,2,6,0,1,11,5
124,M,4,19,13,11,11
125,Q,2,5,11,11,4
126,A,6,13,29,11,2
127,D,3,5,19,11,3
128,6,6,21,8,11,11
129,D,5,2,28,11,4
130,C,2,11,11,11,18
131,6,1,22,24,11,9
132,5,6,11,1,11,2
133,E,1,8,17,11,6
134,2,3,13,19,11,1
135,D,6,0,1,11,4
136,A,4,0,20,11,9
137,R,0,21,16,11,10
138,Z,6,2,1,11,1
139,M,6,6,8,11,3
140,D,6,10,29,11,9
141,N,2,13,4,11,15
142,N,0,8,9,11,5
143,4,0,20,23,11,6
144,L,2,6,25,11,2
145,2,1,9,17,11,6
146,M,3,12,19,11,8
147,F,1,1,17,11,4
148,7,1,18,3,11,2
149,N,3,16,26,11,8
150,1,0,4,30,11,2
151,6,0,2,23,11,1
152,L,3,8,26,11,1
153,2,0,11,16,11,2
154,1,0,21,9,11,13
155,D,6,19,22,11,6
156,N,0,3,2,11,1
157,GS,4,17,27,11,3
158,7,3,0,5,11,1
159,L,3,11,5,11,3
160,C,0,21,23,11,13
161,L,4,13,20,11,3
162,2,6,16,1,11,1
163,E,2,14,18,11,4
164,M,4,4,6,11,4
165,F,6,5,22,11,3
166,A,0,9,23,11,2
167,3,1,6,3,11,3
168,J,4,8,13,11,1
169,C,1,8,17,11,5
170,2,6,17,8,11,7
171,7,6,18,22,11,2
172,L,1,23,17,11,2
173,5,3,6,5,11,2
174,7,5,2,7,11,2
175,1,0,0,16,11,6
176,D,6,16,1,11,3
177,C,0,22,2,11,14
178,2,4,23,20,11,2
179,M,4,0,20,11,6
180,N,4,8,13,11,5
181,A,6,15,29,11,9
182,M,6,20,8,11,9
183,5,0,14,2,11,2
184,Q,6,16,22,11,10
185,3,6,10,8,11,5
186,2,1,21,3,11,5
187,7,4,22,20,11,1
188,4,0,9,16,11,3
189,N,6,5,8,11,7
190,6,0,7,30,11,8
191,2,2,18,11,11,3
192,D,6,9,22,11,1
193,A,4,21,27,11,8
194,L,1,7,17,11,1
195,E,5,0,21,11,13
196,M,0,7,9,11,4
197,D,1,16,10,11,4
198,3,5,13,28,11,5
199,L,0,17,30,11,2
200,1,5,22,21,11,24
201,1,1,7,10,11,11
202,A,2,8,18,11,6
203,M,2,13,11,11,13
204,6,6,20,29,11,3
205,5,4,12,20,11,1
206,C,3,9,12,11,10
207,Q,0,2,16,11,2
208,F,2,8,11,11,7
209,F,3,16,26,11,15
210,7,3,13,26,11,2
211,C,1,14,17,11,15
212,5,3,22,5,11,2
213,E,5,8,21,11,9
214,M,6,21,15,11,7
215,Z,3,18,26,11,1
216,4,0,11,16,11,2
217,D,1,21,3,11,4
218,M,1,19,24,11,10
219,3,3,18,19,11,2
220,D,6,23,8,11,2
221,7,6,3,15,11,5
222,M,6,4,8,11,8
223,6,3,11,5,11,10
224,F,0,16,23,11,14
225,R,2,14,11,11,9
226,2,0,8,9,11,2
227,2,1,5,3,11,1
228,6,6,18,1,11,13
229,GS,5,15,14,11,1
230,M,5,3,28,11,2
231,D,2,14,11,11,18
232,D,6,20,29,11,5
233,1,1,9,10,11,10
234,R,5,8,28,11,5
235,F,3,18,12,11,9
236,D,2,19,18,11,3
237,L,1,14,10,11,3
238,M,4,8,20,11,8
239,4,6,14,1,11,3
240,D,5,18,28,11,10
241,J,3,18,26,11,1
242,6,6,17,22,11,18
243,6,1,9,3,11,9
244,4,1,17,3,11,2
245,D,3,10,12,11,4
246,C,3,8,19,11,11
247,2,2,7,4,11,2
248,M,2,11,25,11,10
249,A,0,0,16,11,7
250,D,3,13,19,11,9
251,M,6,5,15,11,4
252,4,6,16,29,11,1
253,5,0,6,16,11,2
254,N,1,13,3,11,5
255,E,1,19,10,11,10
256,A,2,1,11,11,3
257,M,5,17,28,11,15
258,D,2,8,25,11,3
259,J,5,19,7,11,1
260,Q,0,14,2,11,6
261,N,4,19,6,11,11
262,E,2,14,4,11,12
263,4,5,10,14,11,10
264,6,5,18,14,11,14
265,E,3,1,26,11,5
266,7,1,9,24,11,5
267,R,1,6,10,11,2
268,4,6,1,22,11,2
269,3,1,5,24,11,2
270,Q,0,21,9,11,3
271,D,2,23,18,11,4
272,3,1,11,10,11,4
273,J,4,21,20,11,1
274,6,3,17,19,11,8
275,E,4,12,20,11,13
276,E,0,23,9,11,11
277,Q,4,7,13,11,4
278,6,6,10,29,11,4
279,E,0,18,30,11,9
280,A,6,22,22,11,12
281,6,0,9,2,11,9
282,M,1,9,24,11,7
283,D,0,13,30,11,12
284,N,5,7,21,11,2
285,A,3,6,19,11,9
286,1,1,20,17,11,7
287,1,0,5,9,11,4
288,E,2,1,25,11,11
289,3,6,22,8,11,3
290,A,6,20,8,11,8
291,Q,2,2,18,11,1
292,N,1,12,10,11,7
293,N,4,3,6,11,1
294,6,3,9,19,11,9
295,N,2,12,11,11,9
296,C,2,10,18,11,10
297,F,4,8,13,11,9
298,A,2,7,25,11,7
299,E,6,4,8,11,11
300,7,0,22,30,11,1
301,F,0,8,23,11,8
302,Z,4,9,6,11,1
303,A,1,7,24,11,4
304,7,3,16,5,11,2
305,R,6,10,1,11,9
306,5,2,12,18,11,4
307,C,5,20,21,11,10
308,N,3,12,12,11,5
309,C,1,9,10,11,7
310,E,0,2,30,11,1
311,1,0,10,30,11,6
312,Q,5,17,28,11,9
313,R,5,15,21,11,23
314,R,2,8,25,11,7
315,E,6,22,8,11,9
316,7,6,14,8,11,1
317,N,0,1,16,11,4
318,5,4,11,27,11,8
319,Q,0,10,30,11,7
320,5,6,13,1,11,6
321,L,0,13,2,11,1
322,E,5,6,7,11,3
323,M,4,1,27,11,2
324,6,6,8,29,11,7
325,C,0,19,23,11,13
326,J,6,0,29,11,1
327,F,3,2,12,11,2
328,Q,6,3,15,11,9
329,D,0,15,2,11,9
330,GS,0,14,16,11,1
331,5,2,8,4,11,1
332,M,2,18,4,11,12
333,E,6,20,8,11,9
334,L,2,16,11,11,1
335,N,3,14,26,11,7
336,6,6,20,1,11,7
337,2,6,5,22,11,3
338,3,4,14,20,11,4
339,6,3,12,26,11,5
340,Z,5,7,21,11,1
341,A,5,8,7,11,6
342,7,6,12,22,11,2
343,D,5,13,7,11,15
344,5,5,21,14,11,5
345,1,0,6,30,11,8
346,GS,4,22,20,11,1
347,6,5,0,28,11,5
348,1,4,1,27,11,4
349,5,4,17,13,11,4
350,D,3,12,26,11,3
351,E,3,1,12,11,6
352,4,4,13,6,11,6
353,Q,0,22,30,11,5
354,L,4,16,13,11,1
355,E,5,22,7,11,13
356,Q,6,19,15,11,4
357,F,5,1,21,11,11
358,N,5,14,14,11,19
359,F,5,18,28,11,22
360,7,2,9,11,11,2
361,L,5,22,14,11,4
362,R,4,17,6,11,6
363,A,2,5,25,11,4
364,D,4,11,20,11,10
365,6,6,4,1,11,6
366,6,0,12,23,11,13
367,7,5,6,7,11,1
368,2,2,23,18,11,1
369,3,2,11,25,11,6
370,J,5,16,28,11,1
371,R,6,19,22,11,23
372,1,6,7,15,11,5
373,Q,5,22,21,11,10
374,5,1,16,17,11,3
375,Z,6,12,1,11,1
376,E,0,17,23,11,13
377,2,1,13,17,11,5
378,D,6,15,22,11,8
379,N,5,10,28,11,11
380,N,4,6,13,11,5
381,M,4,10,6,11,9
382,A,1,8,3,11,7
383,R,5,14,14,11,19
384,3,0,14,30,11,3
385,N,5,16,28,11,20
386,D,2,3,4,11,1
387,D,0,21,16,11,6
388,C,3,15,26,11,14
389,R,0,0,23,11,6
390,F,0,1,16,11,4
391,7,2,15,25,11,1
392,7,6,12,8,11,2
393,E,2,10,18,11,8
394,M,4,18,6,11,8
395,6,2,14,25,11,12
396,5,5,8,21,11,2
397,G,0,23,9,11,1
398,M,4,15,27,11,13
399,N,0,21,30,11,7
400,J,5,22,14,11,1
401,F,6,11,8,11,14
402,2,0,15,30,11,2
403,M,0,23,23,11,5
404,2,4,12,13,11,1
405,E,6,17,29,11,10
406,N,4,3,20,11,1
407,4,5,20,14,11,5
408,6,5,9,7,11,17
409,Q,1,9,10,11,7
410,3,4,4,6,11,3
411,GS,5,14,7,11,1
412,E,6,5,29,11,3
413,L,5,11,21,11,4
414,4,6,8,1,11,2
415,D,4,7,6,11,2
416,D,1,21,17,11,4
417,1,1,12,3,11,17
418,4,2,17,4,11,1
419,2,6,12,15,11,6
420,6,5,12,14,11,18
421,D,2,19,4,11,6
422,L,6,20,29,11,5
423,R,0,16,23,11,13
424,F,3,6,12,11,6
425,F,6,22,15,11,4
426,1,5,10,21,11,21
427,A,6,7,1,11,6
428,G,5,21,14,11,1
429,3,0,20,16,11,2
430,6,1,1,17,11,4
431,1,6,2,22,11,15
432,A,0,8,16,11,4
433,D,0,4,9,11,3
434,M,0,7,23,11,4
435,1,6,1,29,11,13
436,E,4,17,13,11,11
437,4,5,4,14,11,1
438,E,1,7,10,11,10
439,1,4,12,20,11,15
440,Q,3,4,19,11,3
441,N,0,3,16,11,1
442,N,4,11,20,11,6
443,R,6,4,1,11,10
444,D,5,21,21,11,7
445,D,4,23,6,11,5
446,1,2,18,4,11,17
447,F,1,7,17,11,7
448,3,0,13,9,11,4
449,6,6,5,22,11,1
450,Z,6,11,22,11,1
451,3,6,21,1,11,4
452,Q,5,14,21,11,9
453,1,2,17,25,11,21
454,E,6,19,29,11,5
455,D,5,3,7,11,2
456,Q,6,19,29,11,14
457,A,6,8,22,11,7
458,4,2,5,4,11,1
459,1,2,16,4,11,13
460,A,0,16,30,11,7
461,2,6,22,1,11,4
462,Q,6,20,22,11,14
463,7,2,20,18,11,1
464,4,5,22,28,11,4
465,E,4,1,27,11,2
466,D,4,22,13,11,3
467,D,1,14,10,11,7
468,C,4,11,13,11,7
469,D,1,19,17,11,5
470,A,3,9,26,11,4
471,M,3,12,5,11,14
472,6,6,8,15,11,2
473,7,4,17,27,11,3
474,Q,0,5,9,11,1
475,N,2,2,11,11,3
476,G,3,2,19,11,1
477,E,1,23,10,11,9
478,N,1,4,24,11,1
479,G,4,22,6,11,1
480,F,2,8,25,11,6
481,L,2,21,18,11,2
482,N,4,23,6,11,9
483,E,0,10,2,11,8
484,6,6,1,22,11,13
485,L,0,20,9,11,1
486,E,0,22,16,11,11
487,C,4,19,27,11,20
488,L,5,19,21,11,1
489,M,6,9,15,11,3
490,3,2,18,4,11,3
491,R,6,19,8,11,23
492,M,1,10,3,11,3
493,A,1,19,24,11,8
494,E,6,12,22,11,18
495,R,5,1,7,11,12
496,5,5,6,7,11,1
497,2,5,4,14,11,3
498,7,0,4,2,11,1
499,F,5,0,28,11,7
500,N,6,2,15,11,8
501,Q,4,3,13,11,5
502,3,0,15,9,11,3
503,7,5,11,14,11,2
504,D,1,5,3,11,3
505,5,5,19,14,11,2
506,J,6,2,15,11,3
507,M,0,1,9,11,2
508,Q,0,0,16,11,3
509,R,1,11,3,11,8
510,N,2,18,11,11,10
511,1,6,10,22,11,18
512,L,5,15,7,11,1
513,Q,4,23,13,11,10
514,D,5,22,14,11,5
515,7,1,11,10,11,1
516,R,3,8,26,11,4
517,C,6,15,1,11,21
518,N,2,4,25,11,5
519,N,4,7,6,11,3
520,L,3,10,26,11,3
521,F,2,9,4,11,13
522,A,2,12,4,11,10
523,F,4,12,13,11,15
524,F,1,0,24,11,7
525,3,3,3,12,11,1
526,R,6,3,8,11,5
527,E,6,20,22,11,8
528,3,6,8,8,11,5
529,Q,4,1,27,11,9
530,1,0,22,30,11,7
531,6,0,1,2,11,1
532,1,5,19,14,11,26
533,5,1,19,10,11,1
534,R,4,1,6,11,6
535,L,2,4,11,11,1
536,3,0,19,23,11,3
537,6,1,16,10,11,12
538,4,1,8,10,11,1
539,Q,4,19,13,11,14
540,M,6,17,29,11,11
541,A,6,16,22,11,4
542,E,1,8,3,11,9
543,F,6,12,15,11,19
544,F,0,19,16,11,10
545,5,5,3,14,11,2
546,E,2,9,11,11,10
547,F,0,15,2,11,15
548,C,1,9,24,11,8
549,C,3,8,5,11,6
550,5,5,5,14,11,2
551,3,4,7,13,11,4
552,5,6,21,29,11,2
553,1,3,21,26,11,2
554,F,4,19,20,11,10
555,5,2,13,25,11,3
556,D,6,22,29,11,6
557,Q,6,7,15,11,2
558,C,5,9,28,11,11
559,2,6,14,29,11,5
560,7,5,22,21,11,2
561,6,3,16,26,11,7
562,5,2,12,4,11,3
563,1,5,3,14,11,9
564,Q,5,15,14,11,12
565,1,1,18,17,11,22
566,C,5,22,21,11,19
567,C,1,16,3,11,13
568,N,5,0,28,11,5
569,Q,0,17,9,11,6
570,Q,2,15,11,11,8
571,E,0,7,9,11,5
572,F,6,10,29,11,16
573,D,5,1,7,11,3
574,A,1,17,24,11,5
575,D,3,13,5,11,13
576,L,1,20,24,11,3
577,6,1,0,10,11,8
578,5,4,13,13,11,5
579,L,5,23,21,11,1
580,A,5,20,7,11,10
581,1,1,13,24,11,35
582,5,1,14,17,11,5
583,F,3,19,5,11,10
584,E,4,14,20,11,10
585,Q,6,1,29,11,4
586,M,3,13,26,11,7
587,E,5,12,7,11,22
588,7,4,11,13,11,1
589,E,0,1,9,11,4
590,A,6,6,22,11,5
591,Q,6,23,15,11,4
592,3,1,8,17,11,3
593,Z,6,8,15,11,1
594,4,6,13,8,11,8
595,Q,2,21,11,11,12
596,N,4,10,27,11,12
597,3,0,22,2,11,3
598,Q,0,4,30,11,1
599,1,0,5,23,11,6
600,Z,6,12,29,11,1
601,N,6,23,22,11,2
602,R,3,1,5,11,10
603,J,3,16,26,11,1
604,Q,5,18,21,11,13
605,N,0,10,9,11,12
606,A,6,1,1,11,22
607,C,4,6,20,11,16
608,C,1,19,24,11,10
609,1,3,5,12,11,3
610,2,3,7,19,11,5
611,Q,6,2,22,11,11
612,6,2,17,18,11,3
613,2,0,9,16,11,1
614,5,6,20,8,11,1
615,R,0,16,9,11,10
616,E,0,20,16,11,9
617,F,2,7,18,11,9
618,E,1,17,10,11,7
619,3,4,22,6,11,4
620,A,6,23,1,11,3
621,7,1,8,3,11,4
622,2,6,17,22,11,2
623,3,4,5,13,11,2
624,E,3,14,5,11,10
625,4,5,8,14,11,5
626,4,0,17,30,11,3
627,3,5,11,28,11,5
628,R,1,1,3,11,1
629,2,2,3,4,11,1
630,C,1,16,17,11,7
631,3,2,12,18,11,5
632,2,1,15,3,11,3
633,R,4,13,20,11,18
634,F,3,9,19,11,14
635,A,5,17,14,11,7
636,Q,0,19,9,11,11
637,E,6,8,8,11,4
638,D,4,15,20,11,11
639,D,1,12,10,11,5
640,4,1,11,3,11,3
641,A,4,21,13,11,12
642,3,0,14,2,11,1
643,1,3,21,12,11,15
644,Q,2,18,4,11,6
645,7,5,8,7,11,1
646,6,6,5,8,11,1
647,5,4,10,20,11,2
648,R,0,15,16,11,9
649,G,0,19,23,11,1
650,4,2,16,25,11,3
651,2,6,8,15,11,3
652,L,4,21,20,11,2
653,6,2,1,18,11,4
654,N,1,0,24,11,3
655,3,6,4,22,11,4
656,R,0,22,9,11,10
657,M,4,5,27,11,3
658,5,1,22,17,11,2
659,1,4,7,13,11,13
660,4,3,17,19,11,3
661,R,4,23,6,11,10
662,1,4,3,27,11,2
663,6,3,19,19,11,5
664,M,5,10,7,11,21
665,A,0,2,2,11,5
666,6,4,0,27,11,5
667,1,1,19,10,11,18
668,L,5,6,14,11,1
669,7,5,13,14,11,4
670,M,0,0,16,11,2
671,L,0,16,23,11,4
