,line,day_of_week,hour,day,month,count
0,D,4,14,25,9,5
1,4,6,19,20,9,1
2,F,5,8,26,9,5
3,Q,1,0,29,9,2
4,F,1,7,15,9,6
5,L,4,23,4,9,1
6,J,2,23,2,9,1
7,Q,3,23,24,9,4
8,E,6,7,13,9,4
9,7,3,7,24,9,3
10,N,6,13,20,9,10
11,E,5,11,12,9,18
12,2,3,9,3,9,1
13,3,6,14,20,9,4
14,A,1,14,1,9,9
15,R,1,21,15,9,14
16,A,6,17,27,9,11
17,GS,2,5,9,9,1
18,Z,4,22,25,9,1
19,M,4,6,18,9,8
20,5,5,18,19,9,3
21,E,5,13,12,9,16
22,2,4,1,4,9,4
23,D,1,10,22,9,5
24,Q,1,15,8,9,7
25,3,5,19,12,9,3
26,R,6,2,13,9,14
27,C,2,12,30,9,12
28,N,1,17,1,9,2
29,2,0,7,14,9,2
30,2,0,5,14,9,1
31,6,4,1,4,9,4
32,3,1,14,15,9,6
33,R,1,6,22,9,6
34,GS,3,9,10,9,3
35,1,3,16,17,9,9
36,6,6,0,13,9,7
37,R,5,13,19,9,19
38,M,3,15,10,9,5
39,F,2,13,30,9,10
40,N,5,17,5,9,21
41,C,2,23,9,9,13
42,7,1,17,22,9,1
43,4,6,14,13,9,4
44,L,2,8,9,9,1
45,1,4,4,18,9,5
46,D,2,7,16,9,10
47,F,1,11,1,9,15
48,M,2,1,23,9,2
49,5,6,22,20,9,1
50,N,5,3,19,9,6
51,Q,0,0,14,9,4
52,A,6,11,13,9,9
53,R,6,0,27,9,8
54,7,4,7,25,9,1
55,7,0,3,7,9,1
56,C,1,16,29,9,10
57,A,4,22,4,9,7
58,A,0,10,14,9,4
59,D,1,9,1,9,9
60,3,0,10,14,9,2
61,Q,3,22,3,9,6
62,R,6,18,13,9,17
63,F,1,21,15,9,10
64,G,6,9,27,9,2
65,1,0,13,21,9,7
66,4,5,16,26,9,7
67,D,5,8,12,9,4
68,5,3,20,3,9,1
69,3,5,12,5,9,4
70,4,0,11,14,9,1
71,2,6,20,27,9,4
72,Q,3,0,17,9,1
73,R,2,22,23,9,13
74,M,3,9,10,9,10
75,N,5,1,5,9,10
76,C,2,7,9,9,7
77,N,4,22,25,9,13
78,Z,4,19,18,9,2
79,7,4,19,11,9,1
80,1,6,22,20,9,13
81,6,3,4,24,9,3
82,R,4,14,25,9,12
83,M,2,5,23,9,6
84,7,4,23,25,9,1
85,5,2,8,16,9,3
86,1,2,14,16,9,21
87,D,5,10,26,9,7
88,Q,3,9,10,9,5
89,1,1,16,15,9,4
90,F,4,3,18,9,2
91,7,6,17,13,9,1
92,A,1,14,29,9,6
93,6,1,5,29,9,2
94,2,4,9,4,9,3
95,2,0,18,21,9,2
96,E,2,8,2,9,16
97,J,6,5,6,9,2
98,4,4,23,18,9,4
99,Z,2,23,16,9,1
100,L,1,7,29,9,1
101,A,5,15,26,9,12
102,M,6,13,27,9,16
103,E,1,23,22,9,14
104,C,2,16,16,9,11
105,5,6,8,20,9,3
106,L,0,8,21,9,1
107,6,4,9,4,9,8
108,6,5,8,12,9,9
109,Q,4,15,25,9,12
110,Q,3,8,17,9,8
111,5,0,8,14,9,4
112,A,4,6,18,9,6
113,6,3,20,24,9,15
114,G,2,13,9,9,1
115,Q,1,17,8,9,11
116,L,4,14,11,9,6
117,E,4,9,11,9,18
118,R,1,18,8,9,16
119,N,0,8,7,9,3
120,M,5,14,19,9,13
121,E,4,13,25,9,7
122,Q,1,0,15,9,5
123,4,1,17,29,9,4
124,2,5,12,12,9,4
125,1,1,0,15,9,6
126,E,3,12,3,9,11
127,6,2,20,9,9,8
128,M,1,22,1,9,5
129,4,2,19,16,9,3
130,D,2,19,30,9,2
131,A,2,10,16,9,4
132,Q,2,4,16,9,1
133,4,5,3,5,9,1
134,R,5,0,26,9,7
135,L,2,2,9,9,1
136,M,6,11,27,9,10
137,6,2,6,23,9,8
138,Z,5,19,19,9,2
139,L,4,9,18,9,1
140,2,0,11,14,9,2
141,M,1,10,29,9,14
142,A,6,21,13,9,13
143,C,6,14,20,9,18
144,E,1,8,15,9,5
145,3,4,18,18,9,4
146,Q,2,14,16,9,5
147,L,6,18,13,9,2
148,Q,1,12,29,9,2
149,E,3,15,10,9,9
150,N,6,14,27,9,22
151,Q,1,1,8,9,3
152,6,5,10,26,9,43
153,J,2,13,2,9,1
154,E,2,15,9,9,8
155,L,0,7,28,9,2
156,E,4,9,25,9,9
157,R,2,18,9,9,7
158,A,4,14,18,9,5
159,6,4,11,4,9,9
160,3,1,15,8,9,1
161,6,2,4,9,9,1
162,5,2,0,16,9,1
163,D,0,7,28,9,5
164,C,2,8,16,9,23
165,Q,3,13,24,9,6
166,D,3,11,17,9,6
167,3,6,21,13,9,1
168,M,3,0,17,9,4
169,L,3,23,17,9,1
170,M,1,14,1,9,11
171,Q,3,6,3,9,1
172,3,0,21,21,9,3
173,A,6,5,13,9,7
174,C,4,22,18,9,14
175,5,0,17,21,9,6
176,3,3,17,10,9,4
177,L,6,2,13,9,4
178,4,2,21,16,9,5
179,F,5,5,19,9,2
180,2,1,13,29,9,1
181,7,2,15,23,9,1
182,A,4,12,4,9,12
183,L,4,17,18,9,3
184,M,2,1,9,9,3
185,E,6,8,6,9,9
186,1,3,22,3,9,10
187,D,0,22,7,9,3
188,A,5,14,19,9,13
189,D,3,18,24,9,8
190,3,4,10,18,9,2
191,6,0,14,21,9,15
192,3,2,14,16,9,4
193,R,2,2,9,9,5
194,4,4,8,11,9,4
195,GS,4,10,18,9,1
196,A,2,18,16,9,8
197,3,6,23,27,9,3
198,A,6,23,13,9,8
199,J,3,21,3,9,2
200,L,6,8,27,9,1
201,C,1,18,29,9,28
202,L,3,4,10,9,1
203,J,5,14,26,9,3
204,M,2,17,9,9,9
205,Q,0,19,21,9,8
