,line,day_of_week,hour,day,month,count
0,R,5,1,30,4,9
1,7,1,20,12,4,1
2,3,5,17,23,4,2
3,C,2,8,27,4,11
4,F,4,0,8,4,6
5,Q,5,17,9,4,11
6,A,5,23,9,4,9
7,3,4,2,29,4,1
8,5,3,17,7,4,1
9,C,6,18,3,4,15
10,N,1,14,5,4,14
11,R,5,9,16,4,15
12,A,4,16,15,4,1
13,6,0,10,18,4,12
14,1,1,11,5,4,11
15,7,2,6,13,4,2
16,N,6,1,17,4,6
17,C,3,20,14,4,18
18,6,5,14,9,4,18
19,5,0,4,25,4,1
20,Z,1,18,5,4,1
21,F,1,12,19,4,15
22,Q,4,4,29,4,1
23,M,3,23,7,4,7
24,N,2,17,27,4,12
25,M,2,8,27,4,9
26,A,1,4,26,4,4
27,1,1,12,12,4,16
28,M,4,3,8,4,2
29,M,5,14,30,4,18
30,3,5,1,23,4,5
31,M,6,1,24,4,7
32,A,6,1,10,4,13
33,N,3,3,14,4,1
34,F,2,2,6,4,2
35,1,4,21,22,4,14
36,Z,6,19,3,4,1
37,A,4,0,15,4,5
38,7,2,1,20,4,1
39,R,4,14,8,4,6
40,D,4,12,22,4,7
41,M,2,5,20,4,1
42,E,0,7,18,4,5
43,7,5,20,2,4,2
44,Q,6,23,10,4,7
45,E,1,13,19,4,8
46,A,6,13,24,4,6
47,3,4,4,15,4,1
48,3,4,11,22,4,4
49,4,1,7,12,4,2
50,D,0,1,25,4,2
51,5,5,12,30,4,7
52,7,4,4,1,4,1
53,4,3,23,14,4,3
54,E,0,6,25,4,8
55,Q,5,5,9,4,5
56,J,6,23,3,4,1
57,4,5,1,16,4,3
58,2,3,15,14,4,1
59,6,4,15,15,4,20
60,A,2,18,27,4,15
61,1,0,13,4,4,10
62,5,3,8,28,4,1
63,6,0,9,11,4,9
64,E,5,2,2,4,10
65,2,6,8,10,4,3
66,E,5,14,2,4,16
67,N,5,19,2,4,24
68,N,3,19,14,4,10
69,R,3,19,28,4,22
70,7,5,16,2,4,2
71,M,2,2,27,4,2
72,F,2,18,6,4,11
73,E,4,22,1,4,17
74,D,1,2,5,4,3
75,Z,6,3,3,4,3
76,A,3,12,28,4,10
77,C,6,18,17,4,26
78,M,1,19,5,4,13
79,4,2,17,27,4,4
80,L,2,13,13,4,1
81,Z,5,9,16,4,1
82,5,4,3,8,4,1
83,Z,4,19,1,4,3
84,Q,3,21,7,4,4
85,N,5,11,16,4,14
86,7,5,19,23,4,4
87,L,4,1,15,4,1
88,5,2,17,6,4,4
89,1,3,23,21,4,20
90,J,4,11,1,4,1
91,A,3,18,14,4,5
92,Q,0,0,25,4,3
93,GS,1,12,26,4,1
94,D,5,10,9,4,8
95,7,5,16,30,4,1
96,1,6,7,24,4,6
97,R,2,9,13,4,5
98,4,5,10,23,4,4
99,N,5,3,2,4,3
100,M,2,0,13,4,5
101,R,5,22,9,4,18
102,A,5,14,16,4,6
103,6,3,16,7,4,10
104,1,1,5,19,4,2
105,Q,4,19,8,4,9
106,R,3,14,7,4,10
107,6,2,12,20,4,13
108,7,4,8,1,4,1
109,R,5,0,23,4,10
110,R,4,9,15,4,6
111,2,2,23,27,4,2
112,2,0,16,18,4,2
113,R,2,14,20,4,9
114,1,6,14,3,4,15
115,C,3,15,21,4,10
116,R,2,0,20,4,4
117,3,0,8,25,4,3
118,Q,4,20,15,4,1
119,A,3,2,14,4,7
120,A,3,15,21,4,4
121,3,1,2,12,4,1
122,Z,5,0,23,4,2
123,1,3,5,7,4,2
124,N,2,19,27,4,9
125,4,2,13,13,4,4
126,Z,5,5,16,4,1
127,R,1,10,5,4,8
128,L,1,6,5,4,1
129,A,6,17,24,4,8
130,Z,4,15,1,4,2
131,Z,1,19,12,4,1
132,6,6,12,24,4,10
133,6,3,0,7,4,9
134,F,2,18,20,4,12
135,3,1,7,5,4,7
136,1,3,23,7,4,31
137,F,2,9,13,4,11
138,F,0,18,18,4,7
139,C,5,11,23,4,23
140,E,4,14,1,4,10
141,L,4,8,8,4,1
142,E,3,11,7,4,10
143,1,5,13,23,4,20
144,G,5,10,30,4,1
145,5,0,9,4,4,1
146,D,0,17,11,4,14
147,5,5,15,9,4,12
148,5,2,17,20,4,6
149,7,5,8,2,4,4
150,N,5,7,30,4,5
151,R,2,0,6,4,6
152,Q,3,7,7,4,4
153,6,4,2,22,4,1
154,J,6,15,17,4,1
155,C,4,15,22,4,15
156,3,2,7,6,4,4
157,M,6,18,17,4,8
158,E,5,6,2,4,4
159,2,3,13,14,4,1
160,Q,2,16,13,4,8
161,R,5,11,16,4,20
162,6,4,14,8,4,11
163,D,1,12,19,4,10
164,1,4,0,29,4,7
165,M,4,18,15,4,10
166,R,0,18,18,4,11
167,D,4,4,22,4,2
168,C,3,23,21,4,21
169,L,6,3,17,4,4
170,R,4,9,29,4,14
171,4,2,12,6,4,5
172,N,5,3,16,4,7
173,L,6,17,17,4,2
174,2,0,11,25,4,2
175,D,0,1,11,4,1
176,D,4,13,1,4,14
177,J,0,2,18,4,1
178,J,3,22,21,4,1
179,Q,3,23,7,4,8
180,A,3,2,28,4,6
181,L,2,15,27,4,4
182,E,1,7,5,4,19
183,F,5,23,2,4,13
184,3,3,9,21,4,6
185,F,0,14,18,4,11
186,F,2,4,6,4,1
187,L,0,7,11,4,1
188,1,0,15,18,4,10
189,6,1,8,5,4,13
190,1,2,16,27,4,8
191,E,1,23,5,4,8
192,N,1,4,19,4,1
193,N,5,8,9,4,3
194,6,3,0,21,4,9
195,4,4,12,22,4,4
196,D,4,1,1,4,1
197,Q,4,21,22,4,11
198,F,2,20,20,4,12
199,1,3,2,28,4,1
200,2,4,15,15,4,3
201,3,5,6,2,4,4
202,N,4,14,22,4,3
203,R,1,1,26,4,2
204,A,5,2,2,4,10
205,4,0,20,4,4,3
206,GS,4,11,22,4,1
207,A,1,19,19,4,8
208,L,1,23,12,4,3
209,E,2,12,13,4,20
210,A,1,14,12,4,3
211,5,4,18,15,4,1
212,R,5,23,16,4,16
213,2,1,19,12,4,5
214,D,1,0,19,4,2
215,7,6,20,3,4,2
216,7,3,7,21,4,3
217,R,0,1,25,4,4
218,2,1,13,12,4,2
219,1,4,3,8,4,5
220,L,1,14,5,4,2
221,D,5,18,23,4,8
222,2,3,13,28,4,2
223,A,5,14,2,4,11
224,3,2,22,13,4,7
225,2,4,22,8,4,7
226,7,5,17,9,4,1
227,D,4,17,1,4,5
228,Q,4,5,22,4,1
229,R,5,1,16,4,19
230,M,0,22,25,4,11
231,E,4,6,1,4,13
232,GS,2,16,13,4,2
233,3,5,22,2,4,7
234,M,6,14,3,4,21
235,4,0,7,11,4,1
236,L,4,20,8,4,4
237,N,2,15,13,4,7
238,L,3,21,14,4,1
239,D,1,18,5,4,10
240,F,4,2,22,4,2
241,M,4,20,15,4,12
242,F,5,16,23,4,9
243,R,3,17,28,4,9
244,1,0,19,18,4,20
245,R,1,11,12,4,13
246,Q,1,11,5,4,7
247,1,5,5,9,4,5
248,D,4,17,15,4,1
249,D,1,16,19,4,10
250,M,1,3,5,4,2
251,2,2,10,6,4,2
252,Q,3,23,21,4,4
253,R,5,2,23,4,9
254,3,1,6,12,4,2
255,3,0,3,4,4,2
256,E,6,13,10,4,12
257,3,6,13,10,4,2
258,1,0,18,25,4,13
259,2,0,4,18,4,1
260,E,4,4,15,4,3
261,2,4,6,8,4,6
262,6,4,12,22,4,11
263,1,5,12,30,4,22
264,4,5,21,16,4,1
265,F,6,5,3,4,4
266,L,5,12,9,4,6
267,2,4,16,22,4,4
268,N,3,10,21,4,14
269,1,3,13,7,4,14
270,2,2,21,27,4,4
271,J,1,18,5,4,1
272,6,4,5,15,4,3
273,4,4,21,1,4,2
274,3,6,17,10,4,7
275,Q,6,14,3,4,6
276,3,2,15,6,4,1
277,1,5,21,9,4,22
278,5,0,11,18,4,2
279,5,5,23,23,4,1
280,5,4,19,8,4,4
281,E,1,15,5,4,8
282,3,0,19,4,4,2
283,F,6,9,3,4,10
284,A,2,4,27,4,2
285,R,4,11,1,4,12
286,L,0,23,25,4,1
287,2,4,14,22,4,4
288,A,0,23,18,4,7
289,J,4,22,8,4,1
290,J,4,2,22,4,1
291,F,6,21,3,4,7
292,Q,3,8,28,4,1
293,4,5,21,30,4,3
294,E,6,17,24,4,19
295,A,5,8,30,4,2
296,R,5,8,23,4,5
297,3,3,9,7,4,1
298,5,1,14,12,4,2
299,5,1,13,19,4,2
300,GS,1,10,12,4,1
301,3,6,1,10,4,4
302,C,5,22,30,4,17
303,R,2,8,6,4,7
304,Q,5,13,23,4,8
305,3,1,16,26,4,4
306,2,0,6,4,4,4
307,3,3,10,14,4,3
308,3,1,18,12,4,3
309,R,3,17,14,4,6
310,2,2,10,20,4,1
311,5,1,23,5,4,2
312,D,2,1,13,4,3
313,F,6,0,24,4,8
314,7,5,20,30,4,1
315,4,4,15,15,4,2
316,Z,5,10,9,4,1
317,1,3,12,28,4,11
318,F,0,12,4,4,13
319,Z,3,9,28,4,1
320,N,2,1,27,4,2
321,E,3,1,21,4,8
322,F,2,20,6,4,8
323,D,3,3,28,4,1
324,5,0,23,18,4,1
325,R,0,0,4,4,5
326,N,3,10,7,4,9
327,R,4,19,29,4,12
328,6,2,19,13,4,12
329,E,3,1,7,4,4
330,A,3,9,21,4,11
331,C,6,6,3,4,4
332,N,6,19,17,4,10
333,1,4,4,15,4,2
334,5,6,15,24,4,1
335,N,5,17,30,4,9
336,5,0,22,25,4,2
337,5,3,11,21,4,2
338,R,3,1,14,4,1
339,M,0,23,4,4,6
340,3,2,23,6,4,3
341,R,6,10,24,4,14
342,1,3,21,21,4,6
343,N,4,14,8,4,5
344,R,1,0,19,4,4
345,F,1,16,19,4,14
346,E,2,18,27,4,15
347,A,5,10,2,4,13
348,5,5,5,23,4,1
349,Q,0,15,18,4,5
350,Q,4,11,22,4,7
351,5,4,6,1,4,1
352,Q,1,21,19,4,7
353,5,3,9,7,4,3
354,5,4,22,1,4,1
355,E,3,17,21,4,4
356,R,5,21,16,4,16
357,R,6,23,17,4,2
358,F,0,23,25,4,5
359,2,6,1,3,4,1
360,M,3,7,7,4,10
361,4,0,7,25,4,2
362,M,3,23,21,4,11
363,7,5,12,16,4,3
364,1,4,11,22,4,23
365,6,2,3,13,4,1
366,Q,3,13,21,4,8
367,J,4,19,1,4,3
368,C,6,22,3,4,7
369,C,1,9,5,4,11
370,F,4,12,22,4,14
371,F,0,11,25,4,14
372,N,2,18,20,4,26
373,1,3,15,7,4,21
374,1,1,21,19,4,22
375,A,4,17,8,4,7
376,5,4,10,1,4,4
377,5,5,14,2,4,3
378,GS,0,9,4,4,1
379,3,4,2,15,4,2
380,3,3,11,7,4,4
381,R,6,22,10,4,14
382,2,3,15,28,4,2
383,1,2,5,6,4,3
384,4,4,15,29,4,1
385,1,2,13,20,4,16
386,D,6,20,24,4,2
387,F,5,13,30,4,21
388,1,3,12,14,4,14
389,J,1,19,12,4,1
390,L,2,3,27,4,1
391,J,6,3,3,4,3
392,M,6,15,10,4,7
393,C,6,10,3,4,20
394,N,1,6,5,4,1
395,D,1,17,26,4,4
396,R,3,6,21,4,4
397,C,4,21,8,4,10
398,1,1,3,5,4,2
399,3,5,6,16,4,5
400,E,5,21,23,4,17
401,D,0,18,18,4,7
402,E,1,21,19,4,10
403,F,5,8,23,4,5
404,3,6,1,24,4,4
405,1,6,22,17,4,9
406,2,1,14,5,4,6
407,5,2,16,13,4,3
408,7,6,4,17,4,1
409,F,4,12,8,4,16
410,C,1,20,12,4,12
411,Q,0,19,18,4,12
412,Z,0,18,18,4,1
413,N,5,3,30,4,3
414,F,1,11,12,4,14
415,E,1,9,19,4,6
416,D,6,8,24,4,1
417,2,4,0,22,4,1
418,GS,1,14,12,4,2
419,3,1,17,19,4,3
420,3,4,8,15,4,6
421,Q,0,18,25,4,14
422,6,4,11,15,4,13
423,Q,5,12,30,4,6
424,F,4,16,8,4,8
425,L,4,21,29,4,1
426,6,0,2,18,4,2
427,A,2,19,6,4,9
428,A,4,10,1,4,5
429,4,6,10,24,4,2
430,A,5,7,9,4,6
431,4,0,10,4,4,3
432,G,4,19,22,4,1
433,Q,4,15,8,4,7
434,N,4,21,15,4,18
435,5,4,14,29,4,3
436,5,2,9,6,4,1
437,Q,5,21,9,4,11
438,7,5,0,2,4,3
439,4,3,16,21,4,2
440,M,6,17,10,4,14
441,L,3,19,14,4,2
442,R,6,22,24,4,6
443,GS,4,18,29,4,2
444,1,2,5,20,4,4
445,3,5,9,9,4,2
446,N,4,9,15,4,6
447,3,6,3,24,4,4
448,J,4,15,1,4,2
449,L,0,1,11,4,4
450,D,5,11,16,4,11
451,D,3,6,7,4,11
452,5,4,18,29,4,6
453,F,2,10,6,4,6
454,1,4,13,22,4,13
455,R,3,19,14,4,13
456,Q,4,0,29,4,4
457,E,5,22,2,4,16
458,F,0,7,11,4,8
459,E,0,15,18,4,9
460,Z,3,15,14,4,1
