,line,day_of_week,hour,day,month,count
0,R,4,13,25,12,13
1,1,3,18,24,12,12
2,E,2,1,2,12,2
3,E,6,20,13,12,6
4,F,6,6,20,12,2
5,Q,1,1,29,12,4
6,1,1,13,15,12,7
7,5,0,21,14,12,2
8,A,4,11,18,12,11
9,7,4,2,25,12,3
10,F,1,6,15,12,7
11,A,3,21,17,12,12
12,2,5,5,26,12,2
13,3,4,5,4,12,1
14,2,2,14,30,12,3
15,F,1,18,1,12,13
16,4,6,15,27,12,2
17,D,3,22,17,12,5
18,R,1,23,22,12,15
19,Q,2,17,16,12,2
20,Q,1,22,8,12,5
21,Q,6,13,20,12,9
22,E,3,6,10,12,8
23,F,4,14,18,12,34
24,A,3,13,17,12,6
25,6,1,7,8,12,6
26,6,5,19,26,12,7
27,1,2,15,30,12,15
28,A,4,16,25,12,6
29,A,6,22,27,12,7
30,1,1,6,22,12,4
31,1,5,5,19,12,7
32,A,6,2,13,12,8
33,N,3,22,17,12,10
34,E,3,23,17,12,10
35,Q,4,17,18,12,8
36,7,4,15,4,12,2
37,F,2,16,16,12,16
38,7,0,0,21,12,1
39,D,0,10,28,12,10
40,Z,0,19,21,12,1
41,F,3,0,31,12,7
42,1,5,1,5,12,7
43,6,4,16,18,12,12
44,3,3,19,3,12,2
45,F,6,19,27,12,10
46,M,2,22,23,12,7
47,N,2,3,23,12,3
48,3,6,11,20,12,1
49,F,6,16,20,12,16
50,C,1,15,1,12,11
51,F,2,4,16,12,3
52,Q,1,7,29,12,1
53,M,1,21,1,12,6
54,7,1,6,22,12,1
55,Q,5,18,26,12,11
56,6,0,13,7,12,12
57,Q,1,6,8,12,2
58,E,4,8,11,12,11
59,E,3,19,17,12,9
60,E,2,6,9,12,14
61,C,1,23,1,12,6
62,6,5,3,26,12,1
63,2,6,14,20,12,1
64,4,5,9,26,12,3
65,L,5,8,5,12,1
66,4,0,22,28,12,2
67,N,5,4,19,12,2
68,N,1,8,15,12,8
69,A,0,5,14,12,4
70,L,6,2,20,12,2
71,Q,0,10,7,12,2
72,C,6,16,27,12,12
73,L,1,2,1,12,1
74,3,4,14,25,12,3
75,6,1,6,1,12,6
76,7,2,9,30,12,2
77,2,4,17,11,12,5
78,N,1,18,15,12,7
79,D,2,0,2,12,4
80,3,2,1,30,12,1
81,J,5,4,19,12,1
82,A,3,1,17,12,10
83,C,0,18,7,12,19
84,F,6,0,20,12,19
85,GS,6,3,6,12,1
86,A,5,4,26,12,1
87,7,0,16,7,12,1
88,Q,2,5,16,12,6
89,N,0,8,28,12,2
90,R,0,3,21,12,3
91,6,0,16,14,12,10
92,F,5,6,5,12,7
93,L,6,15,27,12,2
94,GS,5,12,26,12,1
95,E,3,13,17,12,9
96,N,3,19,24,12,7
97,6,2,22,16,12,6
98,F,4,1,11,12,6
99,3,6,6,27,12,1
100,E,6,14,13,12,16
101,Z,5,6,5,12,1
102,L,1,18,1,12,1
103,R,4,13,11,12,14
104,D,4,0,4,12,7
105,3,3,23,3,12,8
106,M,6,23,6,12,11
107,6,2,2,2,12,2
108,M,2,11,2,12,14
109,R,0,18,28,12,23
110,D,2,16,2,12,5
111,M,1,13,1,12,12
112,E,2,10,9,12,9
113,D,0,8,14,12,4
114,A,5,20,26,12,6
115,6,0,21,21,12,5
116,F,1,14,1,12,12
117,5,2,19,30,12,2
118,E,2,22,9,12,9
119,D,6,16,6,12,11
120,E,3,10,24,12,13
121,D,6,13,13,12,21
122,M,2,14,23,12,10
123,F,6,8,20,12,4
124,F,0,18,14,12,27
125,4,1,21,8,12,4
126,2,0,17,7,12,3
127,E,1,19,15,12,10
128,L,6,10,6,12,3
129,D,5,12,19,12,20
130,2,4,10,18,12,3
131,6,2,14,30,12,11
132,D,1,15,22,12,11
133,D,2,12,2,12,19
134,M,4,19,4,12,7
135,5,5,21,19,12,2
136,M,4,22,25,12,5
137,D,4,16,4,12,6
138,3,6,10,13,12,2
139,C,5,18,12,12,23
140,C,4,13,4,12,16
141,A,4,1,4,12,1
142,C,5,15,5,12,21
143,D,0,19,7,12,12
144,M,3,8,10,12,5
145,1,5,23,5,12,11
146,R,2,12,2,12,18
147,Q,5,9,19,12,6
148,GS,4,15,4,12,1
149,D,1,20,29,12,7
150,6,4,8,18,12,7
151,2,6,20,20,12,2
152,J,6,5,27,12,1
153,F,3,13,10,12,23
154,E,0,22,21,12,14
155,2,0,1,7,12,2
156,F,4,17,11,12,15
157,Q,1,14,22,12,7
158,1,0,19,28,12,12
159,2,5,18,5,12,4
160,R,2,5,23,12,3
161,Q,0,3,14,12,1
162,1,6,20,13,12,17
163,3,6,19,6,12,1
164,M,3,9,31,12,2
165,A,4,12,25,12,1
166,F,5,4,19,12,3
167,N,1,12,29,12,14
168,R,4,14,4,12,13
169,M,4,8,25,12,1
170,E,2,18,23,12,7
171,7,3,1,3,12,2
172,R,1,5,8,12,3
173,Q,3,18,24,12,17
174,E,0,7,14,12,8
175,3,3,20,24,12,3
176,A,3,5,3,12,5
177,C,2,19,30,12,11
178,1,4,10,11,12,8
179,F,1,2,1,12,3
180,3,1,8,8,12,3
181,D,5,7,26,12,2
182,L,3,8,31,12,1
183,1,2,9,2,12,9
184,M,5,12,26,12,14
185,A,5,22,12,12,6
186,J,4,21,25,12,1
187,M,2,22,9,12,16
188,D,6,11,13,12,18
189,5,3,21,3,12,1
190,5,6,5,20,12,1
191,M,6,23,20,12,8
192,2,5,2,5,12,4
193,R,1,0,29,12,6
194,3,3,21,17,12,21
195,3,6,3,6,12,2
196,Q,5,5,19,12,1
197,6,2,18,16,12,9
198,N,3,14,31,12,12
199,M,5,7,5,12,7
200,7,2,7,2,12,1
201,Q,3,2,24,12,2
202,4,2,14,30,12,4
203,2,1,12,1,12,3
204,G,1,21,1,12,1
205,R,3,13,24,12,24
206,2,5,16,5,12,2
207,2,0,10,14,12,3
208,Q,1,13,15,12,6
209,Z,6,16,6,12,1
210,L,6,12,6,12,4
211,N,5,15,26,12,19
212,N,1,19,22,12,12
213,5,0,23,14,12,1
214,J,2,12,2,12,1
215,D,2,11,9,12,19
216,1,6,14,13,12,8
217,7,4,23,4,12,2
218,7,6,4,13,12,2
219,R,5,13,26,12,34
220,5,5,22,12,12,3
221,E,4,23,18,12,7
222,M,3,20,10,12,6
223,A,4,9,4,12,5
224,N,0,2,28,12,1
225,C,4,14,11,12,12
226,Q,1,22,22,12,12
227,6,5,5,12,12,3
228,4,6,8,6,12,4
229,M,5,21,5,12,13
230,M,0,12,7,12,18
231,M,4,11,4,12,15
232,A,5,2,12,12,17
233,3,6,13,6,12,3
234,6,1,10,1,12,3
235,Q,5,17,5,12,14
236,F,4,23,25,12,3
237,2,5,0,5,12,6
238,M,1,8,8,12,6
239,R,5,19,26,12,21
240,C,6,21,6,12,11
241,N,6,0,20,12,5
242,J,4,0,4,12,1
243,5,2,10,23,12,2
244,F,0,18,28,12,16
245,L,2,18,2,12,6
246,6,0,2,14,12,2
247,4,3,18,17,12,1
248,F,2,22,2,12,3
249,N,2,20,16,12,13
250,2,3,4,31,12,1
251,N,6,13,27,12,12
252,6,1,22,1,12,12
253,R,1,20,29,12,13
254,J,6,0,6,12,1
255,D,2,23,9,12,7
256,D,0,22,28,12,6
257,E,2,5,2,12,1
258,F,2,23,9,12,8
259,E,5,11,5,12,10
260,F,0,16,14,12,15
261,1,3,19,17,12,10
262,7,3,8,10,12,2
263,E,6,22,27,12,7
264,D,0,9,7,12,3
265,N,1,11,8,12,6
266,5,6,8,27,12,1
267,E,3,19,3,12,16
268,6,6,18,20,12,12
269,6,4,22,4,12,9
270,F,0,7,7,12,7
271,A,5,5,19,12,2
272,Z,6,11,27,12,2
273,S,6,2,27,12,1
274,2,2,8,30,12,1
275,D,3,18,3,12,9
276,D,3,5,10,12,4
277,A,1,18,22,12,10
278,Q,6,5,6,12,1
279,C,5,13,5,12,17
280,2,3,20,31,12,5
281,6,0,18,14,12,12
282,7,1,8,8,12,2
283,3,6,22,27,12,1
284,E,4,10,25,12,5
285,4,3,15,10,12,4
286,N,3,15,10,12,8
287,6,3,19,24,12,5
288,M,1,20,8,12,9
289,7,4,18,11,12,1
290,A,2,5,30,12,4
291,6,5,21,12,12,10
292,R,3,7,24,12,1
293,3,5,9,19,12,3
294,C,6,21,20,12,10
295,R,0,20,28,12,18
296,E,0,19,14,12,12
297,5,6,4,13,12,1
298,F,2,1,9,12,5
299,7,0,19,14,12,2
300,L,3,12,31,12,2
301,A,6,9,20,12,6
302,7,2,12,9,12,2
303,E,6,6,27,12,2
304,1,1,7,15,12,8
305,4,1,11,8,12,2
306,N,2,8,2,12,3
307,Q,5,23,5,12,12
308,E,2,5,30,12,2
309,F,0,23,7,12,5
310,6,5,6,19,12,5
311,R,4,6,18,12,7
312,N,4,21,25,12,9
313,F,4,23,11,12,16
314,3,3,15,17,12,3
315,E,1,21,29,12,11
316,R,6,10,20,12,22
317,L,2,6,2,12,5
318,E,4,19,18,12,13
319,3,2,21,30,12,4
320,7,6,13,6,12,1
321,Q,0,19,28,12,12
322,N,0,12,14,12,13
323,F,3,10,31,12,11
324,L,2,18,16,12,1
325,D,1,14,15,12,18
326,E,3,15,3,12,12
327,3,2,20,23,12,1
328,2,1,16,1,12,4
329,E,2,1,30,12,4
330,N,2,9,23,12,7
331,5,5,19,19,12,5
332,7,0,8,7,12,2
333,M,4,5,18,12,5
334,6,4,15,25,12,2
335,E,5,16,26,12,12
336,7,3,13,17,12,4
337,3,3,11,17,12,3
338,3,5,21,5,12,5
339,M,2,9,16,12,11
340,N,6,14,6,12,16
341,1,3,11,17,12,8
342,L,5,7,26,12,1
343,1,2,22,9,12,14
344,GS,1,21,15,12,2
345,Q,2,9,30,12,2
346,A,1,11,29,12,4
347,1,1,22,22,12,17
348,E,4,3,18,12,3
349,N,0,15,21,12,17
350,R,5,14,5,12,26
351,E,2,19,30,12,14
352,Q,2,17,2,12,6
353,7,3,1,17,12,1
354,Z,6,21,27,12,2
355,2,5,23,26,12,5
356,L,3,8,3,12,1
357,4,2,8,2,12,2
358,5,3,23,17,12,3
359,5,5,18,26,12,1
360,5,6,13,6,12,3
361,Q,4,4,11,12,1
362,7,2,19,16,12,2
363,L,1,8,29,12,1
364,R,2,12,16,12,11
365,2,3,5,10,12,1
366,4,1,19,22,12,1
367,E,4,20,25,12,9
368,E,1,9,29,12,10
369,E,2,13,16,12,23
370,F,1,7,22,12,5
371,6,5,14,5,12,24
372,F,6,5,13,12,6
373,D,6,15,27,12,25
374,M,0,3,28,12,2
375,1,2,6,9,12,11
376,F,5,23,12,12,13
377,M,5,18,12,12,15
378,R,3,12,31,12,21
379,5,4,8,11,12,2
380,Z,2,15,9,12,1
381,1,4,15,18,12,14
382,3,6,4,27,12,2
383,GS,2,8,23,12,1
384,F,4,11,11,12,15
385,Z,5,20,19,12,1
386,2,6,22,6,12,5
387,M,4,9,18,12,30
388,2,0,9,21,12,5
389,A,5,13,19,12,13
390,R,1,6,1,12,2
391,2,3,12,17,12,3
392,7,2,16,9,12,1
393,4,6,1,13,12,3
394,E,0,23,14,12,7
395,N,2,20,2,12,13
396,3,1,11,1,12,4
397,F,6,1,13,12,6
398,D,6,3,27,12,2
399,N,6,14,20,12,15
400,6,3,4,31,12,1
401,F,3,15,10,12,17
402,A,5,17,19,12,3
403,N,5,11,12,12,25
404,E,4,4,25,12,2
405,M,6,1,20,12,12
406,F,3,19,24,12,22
407,C,0,10,21,12,17
408,F,1,10,29,12,18
409,F,6,21,13,12,13
410,6,4,19,11,12,9
411,D,3,14,3,12,15
412,R,6,16,20,12,17
413,1,0,3,14,12,2
414,M,2,15,2,12,15
415,N,2,16,2,12,7
416,Q,1,10,8,12,9
417,1,3,13,17,12,10
418,2,1,6,29,12,4
419,N,4,8,4,12,5
420,J,4,22,4,12,1
421,C,2,13,30,12,17
422,6,2,14,2,12,11
423,4,3,9,24,12,2
424,2,2,17,23,12,1
425,4,0,11,7,12,2
426,2,1,8,15,12,8
427,L,1,1,22,12,2
428,6,3,20,31,12,12
429,4,5,18,19,12,6
430,R,3,16,31,12,10
431,2,3,20,3,12,3
432,1,0,10,21,12,9
433,Q,4,14,11,12,10
434,F,5,15,26,12,22
435,5,2,10,9,12,1
436,2,2,14,2,12,2
437,Q,3,19,17,12,5
438,2,2,6,16,12,5
439,R,2,20,16,12,16
440,Q,2,13,2,12,8
441,5,1,5,15,12,1
442,GS,2,21,2,12,3
443,D,5,6,19,12,1
444,A,2,23,30,12,12
445,3,1,23,1,12,4
446,R,5,12,19,12,33
447,5,0,6,21,12,1
448,C,5,20,26,12,13
449,M,2,7,16,12,9
450,L,3,12,3,12,3
451,7,0,13,28,12,3
452,A,0,21,14,12,9
453,J,6,16,6,12,1
454,6,1,7,22,12,6
455,6,3,12,17,12,15
456,6,4,19,25,12,7
457,R,6,19,27,12,15
458,M,4,17,18,12,11
459,N,1,21,8,12,11
460,Z,0,3,7,12,1
461,C,2,22,23,12,11
462,6,6,10,20,12,13
463,F,1,16,29,12,16
464,L,5,3,12,12,4
465,N,6,8,6,12,2
466,E,2,9,16,12,16
467,D,3,11,24,12,14
468,E,1,2,8,12,5
469,Q,3,3,17,12,5
470,C,3,22,24,12,12
471,C,3,19,3,12,22
472,A,1,2,8,12,5
473,M,1,9,1,12,6
474,Q,2,13,30,12,10
475,L,0,22,14,12,1
476,M,5,2,26,12,1
477,1,5,10,12,12,17
478,2,6,1,13,12,9
479,E,2,21,16,12,13
480,M,4,2,11,12,6
481,D,6,0,6,12,5
482,E,0,14,7,12,8
483,5,3,13,17,12,6
484,GS,0,23,28,12,1
485,C,5,6,26,12,1
486,7,4,2,11,12,2
487,A,0,14,7,12,7
488,A,6,1,6,12,9
489,L,1,2,29,12,2
490,3,0,14,7,12,1
491,E,3,11,17,12,13
492,E,1,14,8,12,8
493,1,5,0,26,12,8
494,L,6,4,20,12,4
495,Q,1,15,1,12,11
496,5,2,18,23,12,2
497,4,3,14,31,12,7
498,N,2,4,2,12,1
499,6,3,17,10,12,9
500,A,3,9,3,12,13
501,L,2,2,16,12,2
502,M,5,5,5,12,1
503,N,5,10,5,12,11
504,L,3,18,31,12,6
505,5,3,9,17,12,2
506,C,1,7,1,12,13
507,A,1,18,8,12,10
508,A,5,6,12,12,1
509,7,4,13,18,12,4
510,N,3,9,24,12,6
511,E,0,7,28,12,3
512,2,3,16,3,12,2
513,Q,3,11,17,12,9
514,L,2,10,30,12,3
515,Q,2,22,9,12,5
516,M,2,23,30,12,10
517,6,2,22,2,12,13
518,5,4,7,18,12,1
519,GS,5,7,19,12,1
520,2,4,1,25,12,1
521,R,2,23,23,12,7
522,1,1,1,29,12,7
523,2,1,0,1,12,3
524,C,3,15,3,12,13
525,3,1,4,22,12,3
526,4,2,23,9,12,1
527,Q,0,2,21,12,3
528,6,2,23,9,12,3
529,1,2,22,23,12,13
530,L,0,15,21,12,1
531,L,1,9,8,12,1
532,6,3,1,10,12,4
533,Q,5,1,5,12,11
534,D,2,15,23,12,11
535,Z,0,14,28,12,1
536,E,0,5,14,12,5
537,2,5,11,26,12,1
538,6,6,11,27,12,7
539,F,6,8,6,12,9
540,6,4,4,18,12,1
541,3,3,6,10,12,3
542,Q,2,6,9,12,1
543,4,2,23,23,12,2
544,Q,0,19,14,12,9
545,6,2,6,2,12,3
546,C,1,18,8,12,17
547,A,4,23,18,12,9
548,6,1,12,1,12,8
549,3,0,23,28,12,1
550,7,4,14,25,12,1
551,2,1,11,22,12,2
552,A,3,21,3,12,10
553,4,5,4,5,12,1
554,E,4,21,4,12,16
555,D,2,0,16,12,2
556,M,0,20,21,12,12
557,7,3,13,3,12,3
558,6,2,7,9,12,10
559,E,6,21,20,12,4
560,7,1,0,22,12,1
561,5,4,15,18,12,7
562,F,0,0,14,12,3
563,1,3,17,3,12,24
564,L,2,22,16,12,2
565,Q,2,9,2,12,3
566,7,2,23,2,12,2
567,1,3,11,3,12,20
568,E,0,21,14,12,17
569,5,1,9,15,12,4
570,L,4,14,18,12,3
571,5,6,6,27,12,2
572,E,1,18,22,12,17
573,C,6,13,20,12,25
574,A,6,8,13,12,5
575,L,2,22,2,12,2
576,E,5,22,12,12,10
577,R,6,15,13,12,13
578,3,3,22,10,12,2
579,4,3,10,3,12,2
580,D,5,3,12,12,7
581,1,3,16,10,12,12
582,1,2,9,30,12,10
583,R,1,20,15,12,15
584,C,3,7,17,12,8
585,7,1,1,15,12,3
586,F,4,7,25,12,1
587,R,0,16,14,12,8
588,4,2,15,23,12,2
589,F,1,1,8,12,2
590,E,3,22,24,12,8
591,3,5,5,5,12,1
592,R,0,11,21,12,12
593,6,3,10,31,12,8
594,L,5,16,19,12,2
595,E,1,9,15,12,14
596,A,0,4,21,12,2
597,N,1,2,15,12,3
598,A,0,6,21,12,3
599,M,1,5,15,12,5
600,Q,0,10,21,12,8
601,C,1,14,8,12,15
602,2,2,17,9,12,1
603,A,2,12,23,12,7
604,J,0,3,7,12,1
605,F,0,15,21,12,24
606,C,2,22,9,12,16
607,M,2,12,23,12,12
608,A,0,11,28,12,8
609,1,0,19,14,12,17
610,6,6,15,13,12,9
611,7,3,17,3,12,1
612,R,1,4,15,12,5
613,Q,3,2,10,12,4
614,D,5,9,26,12,5
615,4,6,0,20,12,2
616,2,4,5,25,12,2
617,4,6,17,13,12,5
618,J,5,14,19,12,1
619,F,1,17,8,12,10
620,D,2,20,16,12,7
621,L,4,2,18,12,6
622,1,6,1,20,12,11
