,line,day_of_week,hour,day,month,count
0,J,5,12,13,2,4
1,1,4,13,12,2,8
2,4,0,12,22,2,3
3,4,1,20,9,2,2
4,M,1,6,16,2,7
5,F,0,10,22,2,8
6,7,4,20,5,2,1
7,6,0,2,8,2,1
8,F,5,2,13,2,7
9,Q,3,13,25,2,12
10,J,2,22,24,2,1
11,E,2,16,3,2,12
12,1,0,19,8,2,16
13,4,0,22,8,2,1
14,2,6,20,28,2,1
15,6,2,20,24,2,12
16,F,0,1,1,2,2
17,A,2,10,17,2,10
18,E,5,8,20,2,4
19,E,6,16,7,2,14
20,6,1,22,9,2,6
21,1,3,19,25,2,21
22,3,0,21,22,2,6
23,7,2,10,3,2,4
24,3,4,20,5,2,9
25,E,4,6,5,2,11
26,E,5,2,20,2,8
27,6,5,15,6,2,9
28,4,1,19,2,2,2
29,D,1,22,9,2,5
30,C,1,12,16,2,23
31,R,4,20,12,2,16
32,M,6,18,21,2,10
33,A,0,9,22,2,10
34,E,6,18,7,2,18
35,L,2,8,10,2,2
36,M,6,6,7,2,5
37,A,6,13,28,2,14
38,R,4,14,12,2,10
39,D,2,5,3,2,3
40,4,3,17,18,2,1
41,Q,0,19,8,2,17
42,GS,5,1,13,2,1
43,2,6,10,14,2,4
44,6,1,6,9,2,8
45,F,6,1,7,2,13
46,C,5,19,27,2,45
47,A,3,15,25,2,3
48,GS,5,11,13,2,2
49,6,4,9,19,2,11
50,R,1,23,2,2,6
51,1,2,9,10,2,14
52,4,2,16,24,2,1
53,L,3,9,4,2,3
54,2,6,8,14,2,1
55,M,0,2,1,2,1
56,Q,5,14,6,2,11
57,D,4,13,5,2,12
58,J,6,7,7,2,1
59,N,0,7,1,2,5
60,E,4,22,5,2,11
61,F,2,16,24,2,5
62,F,2,14,24,2,8
63,Q,3,17,11,2,5
64,1,1,15,9,2,11
65,3,2,7,10,2,2
66,6,6,8,14,2,4
67,E,3,4,4,2,1
68,A,2,6,3,2,4
69,7,1,16,2,2,2
70,A,6,1,14,2,6
71,3,0,8,15,2,4
72,M,2,19,24,2,8
73,GS,6,1,28,2,1
74,4,0,21,29,2,1
75,E,3,22,4,2,12
76,5,0,10,15,2,3
77,Z,6,15,7,2,1
78,A,6,23,28,2,5
79,E,0,7,22,2,13
80,7,6,22,21,2,2
81,L,5,17,6,2,2
82,E,1,13,23,2,10
83,F,2,8,10,2,6
84,M,1,17,23,2,8
85,M,1,4,16,2,1
86,3,3,13,11,2,2
87,N,4,5,19,2,4
88,L,0,9,1,2,3
89,J,1,14,9,2,1
90,2,5,12,13,2,5
91,1,5,8,6,2,16
92,7,5,22,20,2,2
93,J,4,13,5,2,1
94,A,4,21,26,2,11
95,E,4,23,26,2,20
96,5,5,15,13,2,1
97,A,2,12,17,2,7
98,N,5,19,6,2,19
99,M,2,7,24,2,6
100,6,2,19,17,2,15
101,1,2,4,3,2,2
102,E,3,6,4,2,5
103,2,0,18,8,2,3
104,6,3,11,18,2,10
105,N,2,18,24,2,9
106,7,5,17,13,2,1
107,N,3,4,11,2,2
108,L,5,1,6,2,6
109,Q,3,15,25,2,8
110,E,6,5,28,2,5
111,D,6,21,7,2,3
112,5,3,23,25,2,2
113,5,4,8,5,2,2
114,A,0,2,29,2,1
115,2,1,14,23,2,2
116,7,3,6,18,2,2
117,J,4,23,19,2,1
118,Q,3,16,4,2,1
119,R,0,5,1,2,2
120,C,2,20,3,2,15
121,E,4,0,5,2,8
122,1,4,16,19,2,15
123,Q,3,20,18,2,9
124,N,3,10,11,2,9
125,J,1,17,2,2,1
126,6,5,14,13,2,21
127,J,5,13,20,2,1
128,2,2,22,24,2,3
129,A,6,20,7,2,4
130,F,6,9,7,2,7
131,F,0,18,22,2,7
132,N,5,3,6,2,2
133,M,3,2,18,2,6
134,4,4,19,5,2,2
135,A,5,14,20,2,11
136,D,2,13,3,2,10
137,2,0,2,8,2,1
138,6,1,9,2,2,8
139,7,5,1,13,2,2
140,Q,0,4,1,2,1
141,1,4,2,19,2,8
142,5,0,16,1,2,2
143,7,1,9,23,2,8
144,N,0,22,8,2,9
145,C,2,12,3,2,15
146,Q,5,7,13,2,3
147,1,1,14,16,2,13
148,6,5,12,27,2,15
149,5,3,13,25,2,1
150,Z,4,15,19,2,2
151,5,1,11,9,2,2
152,C,2,21,24,2,14
153,Q,5,21,27,2,7
154,4,4,9,19,2,2
155,Q,0,16,29,2,9
156,6,3,21,18,2,15
157,J,0,21,15,2,1
158,Z,6,19,21,2,2
159,A,5,4,20,2,5
160,A,6,4,7,2,3
161,2,0,8,8,2,3
162,E,0,8,1,2,5
163,N,0,22,22,2,3
164,R,4,11,5,2,13
165,D,5,22,27,2,9
166,2,1,14,9,2,3
167,1,4,23,12,2,17
168,Q,4,7,12,2,5
169,Z,2,23,3,2,1
170,A,6,6,7,2,3
171,Q,2,12,3,2,13
172,1,1,0,2,2,1
173,M,5,19,27,2,28
174,L,4,8,12,2,2
175,N,1,10,9,2,5
176,A,2,15,24,2,4
177,C,6,18,7,2,27
178,F,5,4,27,2,2
179,3,2,23,10,2,1
180,G,0,20,15,2,1
181,F,4,8,12,2,11
182,J,0,5,15,2,1
183,M,1,21,9,2,6
184,Q,3,19,25,2,13
185,3,5,7,27,2,4
186,A,5,20,20,2,8
187,7,2,6,17,2,1
188,1,3,8,4,2,15
189,M,0,4,1,2,4
190,R,4,6,26,2,8
191,A,4,10,5,2,10
192,A,6,12,7,2,6
193,3,4,3,26,2,1
194,A,5,2,6,2,14
195,Q,4,23,12,2,10
196,F,4,16,26,2,13
197,N,1,11,2,2,12
198,7,4,0,19,2,3
199,4,0,20,22,2,5
200,E,0,16,1,2,5
201,M,6,4,21,2,6
202,E,3,5,11,2,6
203,F,6,21,21,2,4
204,7,3,9,25,2,3
205,1,0,10,1,2,9
206,3,6,1,28,2,6
207,2,0,9,1,2,3
208,1,4,3,12,2,2
209,Q,2,9,10,2,11
210,M,0,12,1,2,10
211,N,3,15,4,2,14
212,Q,3,12,18,2,8
213,6,3,4,11,2,3
214,6,5,1,6,2,2
215,1,4,9,12,2,13
216,N,2,19,3,2,8
217,C,2,11,24,2,14
218,A,3,6,4,2,5
219,F,6,19,21,2,18
220,GS,3,7,25,2,3
221,4,2,8,10,2,3
222,Z,6,10,14,2,1
223,1,5,9,27,2,13
224,5,1,0,16,2,1
225,E,5,22,6,2,19
226,R,0,19,1,2,10
227,2,0,5,15,2,1
228,L,4,20,26,2,1
229,5,1,10,16,2,3
230,1,4,1,26,2,7
231,J,0,15,15,2,1
232,C,4,10,19,2,20
233,M,3,15,11,2,14
234,D,2,1,17,2,1
235,N,3,5,4,2,2
236,E,4,16,5,2,9
237,N,0,17,15,2,16
238,3,6,13,14,2,6
239,6,1,12,9,2,8
240,4,4,18,12,2,2
241,6,5,17,6,2,9
242,E,4,2,19,2,8
243,D,4,17,19,2,7
244,4,4,8,12,2,2
245,Q,5,8,6,2,5
246,C,6,8,21,2,9
247,R,2,18,10,2,25
248,M,4,17,26,2,10
249,F,1,15,16,2,8
250,1,3,20,18,2,35
251,1,2,13,10,2,13
252,5,4,19,26,2,3
253,D,5,23,20,2,11
254,N,4,12,26,2,8
255,7,6,12,7,2,1
256,6,6,14,14,2,16
257,3,4,22,19,2,3
258,D,5,11,6,2,4
259,Z,0,3,1,2,1
260,1,3,15,25,2,13
261,Z,4,14,26,2,2
262,D,3,11,18,2,6
263,L,3,23,18,2,3
264,4,0,7,15,2,2
265,F,4,15,19,2,6
266,3,1,14,16,2,2
267,N,0,1,15,2,1
268,Q,2,14,17,2,4
269,C,1,6,16,2,6
270,1,0,19,22,2,19
271,F,3,10,25,2,14
272,1,6,22,21,2,10
273,A,1,10,2,2,6
274,D,1,16,23,2,5
275,5,5,8,20,2,3
276,5,6,16,7,2,1
277,A,2,22,3,2,11
278,Q,4,16,19,2,6
279,D,1,21,16,2,2
280,E,6,13,14,2,17
281,1,3,0,4,2,10
282,2,4,12,12,2,6
283,R,2,2,10,2,2
284,E,6,17,28,2,14
285,L,6,14,28,2,2
286,5,6,18,7,2,1
287,2,4,6,12,2,4
288,Z,1,7,2,2,1
289,C,0,20,15,2,14
290,E,2,8,3,2,6
291,D,1,8,9,2,5
292,R,6,7,7,2,4
293,M,2,17,10,2,10
294,2,2,14,10,2,4
295,E,3,16,18,2,10
296,M,2,14,3,2,9
297,Q,1,16,2,2,4
298,Q,4,2,19,2,6
299,C,1,22,16,2,11
300,6,5,8,13,2,19
301,1,6,5,14,2,1
302,3,3,15,25,2,3
303,L,5,15,6,2,1
304,N,2,10,10,2,6
305,E,3,20,4,2,8
306,E,3,23,25,2,13
307,C,2,14,17,2,11
308,4,4,21,5,2,1
309,C,1,8,2,2,10
310,5,4,22,5,2,1
311,6,5,6,27,2,12
312,M,0,18,1,2,9
313,5,3,15,11,2,2
314,5,5,14,6,2,1
315,N,4,14,26,2,16
316,3,5,6,20,2,3
317,4,1,21,2,2,2
318,E,5,17,13,2,9
319,L,1,15,2,2,5
320,E,6,11,28,2,14
321,L,1,20,23,2,2
322,R,0,11,1,2,8
323,N,0,0,22,2,2
324,D,1,6,9,2,3
325,E,1,18,16,2,15
326,Q,1,0,2,2,6
327,M,5,10,6,2,12
328,3,0,7,8,2,2
329,Q,1,20,16,2,9
330,J,4,19,5,2,2
331,Z,6,21,21,2,1
332,E,4,1,26,2,4
333,2,6,23,21,2,6
334,6,5,10,27,2,36
335,M,2,6,3,2,11
336,5,4,6,5,2,1
337,M,4,7,26,2,11
338,F,3,19,18,2,7
339,7,3,18,4,2,3
340,M,6,21,28,2,4
341,L,1,18,9,2,2
342,A,4,14,19,2,13
343,Z,2,6,24,2,1
344,F,0,5,29,2,5
345,A,1,19,23,2,9
346,E,1,12,2,2,7
347,R,4,23,19,2,12
348,Z,5,14,27,2,1
349,1,2,22,17,2,14
350,FS,5,15,6,2,1
351,5,1,13,23,2,2
352,D,3,10,25,2,9
353,D,3,5,18,2,2
354,E,3,21,11,2,21
355,5,0,23,22,2,5
356,R,4,13,5,2,9
357,7,6,20,7,2,3
358,G,2,23,10,2,1
359,4,5,1,20,2,1
360,L,1,22,9,2,1
361,Q,3,8,4,2,6
362,M,1,10,2,2,16
363,4,6,21,7,2,1
364,Q,4,3,12,2,1
365,C,3,20,18,2,20
366,2,4,11,19,2,5
367,Q,0,10,1,2,4
368,5,6,15,28,2,4
369,6,2,5,17,2,5
370,L,1,12,23,2,6
371,D,6,20,28,2,4
372,A,4,12,5,2,6
373,A,1,11,9,2,4
374,E,6,8,7,2,5
375,4,6,23,7,2,1
376,R,2,15,3,2,8
377,5,2,7,24,2,2
378,F,2,1,3,2,1
379,Q,4,9,12,2,7
380,R,4,4,12,2,1
381,N,5,6,27,2,4
382,3,5,11,13,2,3
383,L,1,14,23,2,1
384,J,0,11,1,2,1
385,M,0,0,15,2,7
386,E,1,8,16,2,5
387,5,5,9,27,2,1
388,M,1,20,16,2,4
389,Q,5,9,27,2,6
390,R,6,4,14,2,3
391,5,4,1,26,2,1
392,Q,0,6,29,2,6
393,F,4,12,12,2,22
394,1,6,3,14,2,3
395,5,6,21,28,2,1
396,F,4,6,12,2,11
397,2,2,17,17,2,2
398,6,4,17,19,2,19
399,R,2,21,3,2,8
400,E,3,12,4,2,8
401,F,0,9,1,2,19
402,Q,4,19,12,2,14
403,E,5,16,20,2,6
404,4,6,7,7,2,1
405,3,6,19,14,2,2
406,A,3,18,18,2,6
407,E,4,14,5,2,8
408,R,6,22,14,2,8
409,C,0,18,1,2,13
410,2,5,13,6,2,6
411,6,5,7,6,2,3
412,6,3,14,11,2,11
413,E,5,6,6,2,11
414,Q,0,9,8,2,3
415,L,3,2,11,2,2
416,7,0,9,8,2,2
417,3,6,5,28,2,2
418,R,0,3,1,2,2
419,R,6,0,28,2,13
420,F,5,16,27,2,14
421,C,6,10,7,2,24
422,L,2,17,3,2,1
423,R,6,20,14,2,21
424,J,3,17,4,2,1
425,6,4,19,5,2,12
426,1,6,19,14,2,16
427,Q,3,10,4,2,6
428,2,0,17,1,2,3
429,D,0,12,22,2,4
430,N,3,17,18,2,9
431,F,3,0,25,2,11
432,Q,2,15,10,2,6
433,E,1,21,23,2,9
434,4,2,12,10,2,5
435,N,1,3,2,2,1
436,7,1,8,2,2,1
437,Q,0,19,22,2,5
438,2,3,5,4,2,3
439,Q,6,22,21,2,3
440,R,4,5,5,2,1
441,Q,4,15,26,2,10
442,3,6,3,14,2,2
443,6,5,23,6,2,9
444,R,6,10,28,2,10
445,5,5,11,13,2,2
446,M,5,2,6,2,11
447,3,6,21,28,2,3
448,A,2,20,17,2,11
449,M,6,14,7,2,11
450,E,0,13,8,2,11
451,R,5,18,13,2,16
452,R,5,21,20,2,13
453,Z,5,22,13,2,7
454,C,6,6,21,2,1
455,6,1,2,23,2,3
456,7,4,12,5,2,2
457,4,6,10,28,2,5
458,Q,3,0,4,2,3
459,L,3,11,4,2,1
460,E,3,14,4,2,6
461,M,2,4,3,2,1
462,2,4,18,12,2,2
463,3,0,12,29,2,4
464,D,4,21,5,2,2
465,Z,0,11,1,2,1
466,J,6,15,7,2,1
467,4,3,13,4,2,1
468,N,0,15,1,2,7
469,J,6,19,21,2,2
470,D,0,1,29,2,2
471,A,1,20,2,2,4
472,4,1,18,9,2,9
473,J,3,2,11,2,2
474,7,4,10,5,2,2
475,E,0,7,8,2,13
476,L,3,1,4,2,3
477,E,2,2,17,2,6
478,A,5,23,27,2,12
479,6,2,11,17,2,16
480,7,3,8,4,2,1
481,R,5,2,13,2,3
482,Q,5,3,27,2,5
483,4,6,16,28,2,7
484,F,3,11,18,2,8
485,1,5,3,27,2,7
486,Z,5,12,13,2,4
487,2,3,18,11,2,2
488,F,2,20,24,2,10
489,R,1,22,9,2,17
490,M,0,20,1,2,8
491,M,1,9,23,2,13
492,N,1,12,23,2,13
493,5,0,0,15,2,2
494,R,3,12,25,2,12
495,5,4,16,5,2,3
496,E,0,15,22,2,10
497,2,4,2,12,2,2
498,N,3,13,4,2,8
499,4,1,11,2,2,4
500,M,6,11,28,2,9
501,D,2,21,3,2,2
502,L,4,17,5,2,3
503,2,0,15,1,2,1
504,1,5,0,6,2,17
505,J,6,3,21,2,2
506,J,4,5,5,2,1
507,2,2,10,10,2,2
508,6,4,2,12,2,1
509,M,2,12,3,2,13
510,L,4,3,19,2,1
511,M,2,9,24,2,10
512,6,1,15,16,2,10
513,N,5,11,6,2,10
514,R,4,19,5,2,13
515,1,0,20,1,2,7
516,Q,0,12,1,2,3
517,6,1,5,16,2,3
518,4,0,17,15,2,4
519,GS,3,11,25,2,1
520,Q,2,22,17,2,9
521,R,1,0,23,2,5
522,2,5,20,27,2,3
523,A,2,19,10,2,6
524,L,5,9,6,2,2
525,E,0,6,1,2,6
526,F,0,18,8,2,10
527,1,2,20,3,2,8
528,L,1,7,2,2,1
529,M,6,1,28,2,9
530,6,0,13,15,2,12
531,E,1,2,16,2,2
532,1,2,0,17,2,8
533,C,3,8,4,2,12
534,D,1,15,16,2,4
535,M,5,17,13,2,13
536,4,2,23,17,2,10
537,D,3,2,11,2,1
538,R,6,21,21,2,13
539,4,3,16,25,2,2
540,3,0,9,8,2,5
541,Z,6,7,7,2,1
542,2,1,4,23,2,1
