,line,day_of_week,hour,day,month,count
0,4,2,17,20,1,3
1,5,4,17,22,1,2
2,G,4,5,15,1,1
3,L,1,22,26,1,2
4,L,2,13,6,1,1
5,D,0,5,25,1,1
6,3,3,6,14,1,3
7,Q,1,5,5,1,1
8,C,1,10,12,1,6
9,E,1,0,5,1,4
10,M,6,11,3,1,14
11,R,4,2,1,1,6
12,1,2,12,20,1,10
13,4,4,19,15,1,3
14,1,4,17,1,1,13
15,2,1,16,26,1,4
16,M,6,22,31,1,5
17,A,2,1,6,1,8
18,7,3,12,14,1,2
19,6,6,23,10,1,3
20,Q,1,7,12,1,2
21,Q,1,8,12,1,4
22,L,2,8,13,1,3
23,L,5,20,2,1,6
24,3,5,17,30,1,4
25,4,3,6,14,1,2
26,M,1,4,5,1,1
27,1,0,19,25,1,14
28,3,4,10,8,1,1
29,L,0,20,11,1,5
30,1,2,11,13,1,9
31,E,3,4,21,1,1
32,2,3,19,7,1,5
33,M,1,16,26,1,6
34,N,6,4,31,1,7
35,D,4,22,22,1,5
36,L,0,8,4,1,2
37,A,6,22,24,1,8
38,Z,6,19,31,1,2
39,A,5,10,23,1,1
40,5,6,15,31,1,1
41,D,2,21,20,1,2
42,Z,5,3,9,1,1
43,A,0,8,4,1,10
44,E,3,19,7,1,19
45,E,2,14,27,1,3
46,A,2,23,20,1,9
47,A,4,9,1,1,2
48,Q,1,22,12,1,6
49,F,0,8,25,1,4
50,2,2,10,27,1,3
51,L,2,11,27,1,2
52,3,5,0,2,1,2
53,E,6,16,31,1,9
54,N,2,0,20,1,13
55,Z,5,18,30,1,1
56,Z,3,14,21,1,1
57,C,3,19,14,1,15
58,6,3,1,28,1,3
59,2,3,11,28,1,1
60,1,0,10,11,1,10
61,N,4,12,29,1,5
62,M,6,18,10,1,9
63,5,3,12,7,1,2
64,R,6,13,3,1,10
65,J,1,0,12,1,3
66,R,3,10,28,1,3
67,A,0,7,18,1,4
68,1,6,10,3,1,17
69,F,4,6,15,1,4
70,D,6,7,31,1,2
71,E,6,13,10,1,26
72,Q,1,11,26,1,7
73,N,6,3,10,1,4
74,N,2,5,13,1,1
