,line,day_of_week,hour,day,month,count
0,E,2,11,29,7,18
1,R,0,3,20,7,1
2,N,1,12,14,7,9
3,M,6,12,26,7,18
4,5,5,10,11,7,2
5,Q,3,19,16,7,11
6,4,6,0,19,7,6
7,3,0,17,13,7,3
8,E,1,4,21,7,3
9,2,5,13,11,7,2
10,D,3,10,2,7,5
11,4,0,6,27,7,3
12,L,3,20,2,7,1
13,3,6,3,19,7,4
14,3,5,3,4,7,2
15,E,6,14,12,7,14
16,Z,5,1,11,7,2
17,D,4,2,17,7,2
18,M,3,22,23,7,1
19,1,3,15,16,7,16
20,7,5,6,25,7,1
21,D,6,12,19,7,7
22,3,3,23,16,7,6
23,N,1,17,7,7,16
24,L,5,0,4,7,3
25,A,4,16,24,7,6
26,F,0,15,6,7,22
27,Q,3,23,16,7,10
28,1,5,7,4,7,2
29,F,5,2,4,7,3
30,1,6,5,19,7,5
31,2,4,3,10,7,2
32,D,2,7,8,7,3
33,GS,1,9,28,7,1
34,L,4,10,31,7,5
35,M,6,10,26,7,6
36,A,0,9,27,7,6
37,F,2,9,22,7,17
38,7,0,15,13,7,2
39,R,6,16,19,7,22
40,5,1,12,21,7,1
41,N,0,19,6,7,15
42,Q,1,17,14,7,7
43,N,3,2,2,7,5
44,R,4,12,17,7,11
45,C,4,18,24,7,10
46,A,6,15,5,7,5
47,6,2,4,15,7,4
48,A,6,9,19,7,5
49,L,1,13,21,7,3
50,M,1,16,21,7,11
51,6,0,13,6,7,10
52,Z,6,22,5,7,1
53,R,4,22,17,7,10
54,6,2,1,22,7,7
55,7,5,22,25,7,2
56,4,4,10,31,7,2
57,3,4,23,17,7,6
58,C,2,11,15,7,19
59,6,6,6,19,7,10
60,7,1,18,7,7,1
61,5,4,13,3,7,4
62,Q,5,4,11,7,10
63,E,3,23,16,7,17
64,E,4,9,31,7,14
65,N,3,14,2,7,13
66,1,5,23,4,7,11
67,4,1,18,28,7,2
68,3,4,14,24,7,5
69,5,2,18,22,7,2
70,Q,0,19,27,7,16
71,6,2,20,15,7,17
72,M,4,4,24,7,6
73,R,0,22,13,7,25
74,R,3,22,2,7,16
75,D,4,1,10,7,2
76,N,3,23,9,7,18
77,D,6,0,19,7,8
78,4,6,22,5,7,2
79,3,1,13,14,7,1
80,N,0,3,6,7,3
81,Q,1,1,14,7,3
82,2,6,10,19,7,5
83,Q,0,17,27,7,9
84,L,1,15,21,7,3
85,F,0,23,6,7,12
86,M,0,20,20,7,9
87,E,6,11,5,7,10
88,7,4,19,31,7,1
89,Q,5,20,11,7,9
90,F,6,9,26,7,8
91,3,5,20,25,7,5
92,5,3,15,16,7,1
93,Z,3,23,9,7,1
94,E,4,5,3,7,2
95,C,0,22,6,7,10
96,A,1,8,7,7,6
97,1,3,5,16,7,4
98,1,5,1,4,7,8
99,6,2,23,8,7,10
100,Q,1,4,7,7,2
101,E,3,12,23,7,9
102,1,0,15,13,7,8
103,M,4,20,24,7,8
104,E,2,10,22,7,8
105,D,4,17,10,7,10
106,2,4,6,31,7,2
107,D,6,11,12,7,4
108,M,3,13,30,7,18
109,L,3,11,23,7,2
110,7,3,9,16,7,4
111,E,6,1,5,7,4
112,E,0,11,27,7,7
113,C,1,18,21,7,11
114,A,3,13,16,7,8
115,E,3,14,9,7,8
116,6,2,19,8,7,8
117,F,5,17,25,7,8
118,F,5,23,25,7,10
119,7,4,19,3,7,1
120,Q,3,12,9,7,5
121,D,5,19,11,7,14
122,Z,2,16,29,7,3
123,G,6,1,19,7,2
124,D,1,5,7,7,5
125,E,5,20,25,7,10
126,4,0,11,20,7,4
127,L,6,15,26,7,3
128,E,5,9,18,7,13
129,6,2,7,8,7,10
130,E,5,2,25,7,11
131,D,4,22,31,7,8
132,6,0,21,6,7,5
133,A,0,2,20,7,1
134,N,0,12,27,7,13
135,E,4,1,3,7,10
136,A,2,1,15,7,7
137,7,0,8,6,7,4
138,E,6,17,5,7,6
139,F,1,6,14,7,10
140,5,4,14,24,7,3
141,N,5,11,11,7,6
142,4,4,11,24,7,2
143,F,0,14,13,7,17
144,Q,3,22,9,7,13
145,M,4,2,10,7,4
146,L,4,15,24,7,2
147,D,3,14,2,7,6
148,7,3,18,23,7,3
