,line,day_of_week,hour,day,month,count
0,3,5,3,5,3,2
1,L,6,2,20,3,9
2,2,5,4,26,3,5
3,Q,3,21,31,3,10
4,J,1,12,22,3,1
5,Q,4,17,18,3,13
6,2,3,21,10,3,6
7,D,5,0,19,3,6
8,D,6,9,20,3,2
9,4,6,19,27,3,3
10,L,2,15,30,3,1
11,L,2,22,2,3,1
12,F,0,8,7,3,16
13,D,1,1,29,3,3
14,F,5,2,5,3,5
15,1,0,14,7,3,9
16,R,6,1,27,3,16
17,G,1,21,15,3,1
18,J,2,19,30,3,1
19,Q,3,1,3,3,2
20,M,1,17,1,3,4
21,F,0,22,21,3,10
22,1,5,21,19,3,24
23,4,3,18,3,3,5
24,F,0,10,7,3,13
25,F,3,7,10,3,11
26,R,0,16,21,3,16
27,1,0,12,7,3,32
28,Z,6,1,20,3,1
29,L,4,20,4,3,1
30,2,1,22,8,3,5
31,GS,1,19,1,3,2
32,4,0,17,14,3,4
33,E,2,21,16,3,7
34,2,6,15,6,3,3
35,4,2,7,30,3,3
36,C,4,6,11,3,8
37,L,5,14,5,3,2
38,2,1,9,22,3,4
39,N,3,12,10,3,29
40,D,0,22,14,3,6
41,M,5,11,26,3,9
42,E,5,0,26,3,13
43,7,5,14,12,3,1
44,4,6,18,27,3,1
45,Z,6,16,6,3,2
46,N,4,0,4,3,7
47,M,3,2,3,3,4
48,A,6,7,20,3,8
49,6,6,3,20,3,1
50,6,1,22,1,3,12
51,6,1,17,29,3,7
52,5,1,19,8,3,2
53,5,3,17,10,3,2
54,F,1,14,22,3,11
55,C,6,7,13,3,5
56,E,4,20,11,3,15
57,C,4,20,11,3,23
58,3,3,17,24,3,2
59,N,3,7,24,3,7
60,Q,1,0,1,3,4
61,M,2,22,16,3,7
62,L,1,11,15,3,1
63,D,0,15,28,3,9
64,Q,0,7,28,3,4
65,E,1,18,1,3,17
66,5,4,16,18,3,2
67,7,3,13,31,3,3
68,M,2,5,2,3,4
69,Z,6,2,6,3,1
70,J,4,7,4,3,1
71,C,5,11,5,3,36
72,4,3,11,3,3,6
73,G,6,2,6,3,1
74,A,6,1,6,3,14
75,N,3,0,24,3,7
76,Q,1,3,15,3,1
77,6,2,19,16,3,19
78,M,6,0,27,3,10
79,D,3,5,10,3,5
80,Q,5,18,26,3,18
81,R,0,23,28,3,7
82,N,3,10,24,3,6
83,D,1,8,29,3,5
84,D,1,15,1,3,8
85,M,5,1,12,3,11
86,N,2,1,23,3,5
87,A,4,21,4,3,10
88,L,2,12,9,3,1
89,L,5,11,19,3,11
90,C,5,19,19,3,28
91,A,2,4,23,3,2
92,D,4,8,25,3,4
93,1,0,15,28,3,11
94,1,0,10,14,3,3
95,Z,4,7,4,3,1
96,D,2,15,9,3,5
97,M,1,8,15,3,7
98,4,2,7,16,3,1
99,1,3,7,17,3,7
100,Q,3,2,10,3,2
101,D,0,9,14,3,7
102,2,5,14,19,3,2
103,D,1,8,1,3,5
104,4,5,21,19,3,3
105,A,3,21,3,3,6
106,E,1,22,15,3,15
107,N,6,11,13,3,8
108,F,4,22,25,3,10
109,A,6,11,27,3,6
110,1,1,5,29,3,4
111,M,2,18,9,3,7
112,Q,2,10,23,3,5
113,2,1,22,1,3,3
114,2,2,1,30,3,1
115,E,2,3,9,3,2
116,A,1,8,22,3,9
117,E,1,19,22,3,14
118,E,5,20,19,3,8
119,3,4,6,25,3,3
120,E,0,11,28,3,8
121,D,5,12,26,3,8
122,L,3,10,24,3,2
123,D,1,14,15,3,9
124,A,3,7,3,3,4
125,Q,1,2,22,3,3
126,5,2,2,2,3,1
127,A,0,20,7,3,7
128,2,3,14,31,3,3
129,F,3,7,17,3,8
130,E,2,19,23,3,13
131,R,3,6,3,3,8
132,E,4,23,18,3,16
133,L,6,20,13,3,2
134,C,4,23,4,3,21
135,F,5,3,12,3,3
136,L,0,10,14,3,2
137,C,3,12,24,3,23
138,3,4,0,11,3,4
139,Z,1,12,22,3,1
140,A,6,10,27,3,10
141,1,3,1,10,3,12
142,N,2,7,30,3,5
143,F,1,14,1,3,14
144,M,5,8,19,3,6
145,F,3,15,31,3,23
146,G,2,13,2,3,1
147,GS,0,1,21,3,1
148,F,2,1,30,3,1
149,D,3,23,31,3,7
150,C,3,13,10,3,13
151,R,4,19,11,3,11
152,1,4,4,25,3,2
153,E,6,19,6,3,15
154,D,3,10,3,3,5
155,M,5,10,19,3,11
156,R,0,19,28,3,18
157,GS,6,17,6,3,1
158,F,1,8,15,3,11
159,E,4,8,18,3,7
160,M,4,11,18,3,16
161,1,3,7,24,3,9
162,M,6,8,6,3,3
163,M,2,14,9,3,5
164,7,2,21,23,3,1
165,F,6,0,6,3,16
166,F,3,6,31,3,12
167,R,3,18,10,3,16
168,1,2,8,23,3,9
169,2,1,5,15,3,3
170,A,3,5,24,3,4
171,6,5,5,19,3,3
172,E,1,1,8,3,1
173,1,2,10,23,3,14
174,D,0,10,7,3,7
175,D,5,12,5,3,5
176,2,4,2,25,3,2
177,J,2,19,9,3,1
178,4,4,11,11,3,3
179,Z,1,15,15,3,1
180,A,1,19,29,3,9
181,M,4,3,4,3,3
182,7,3,7,24,3,5
183,1,3,8,24,3,12
184,D,0,13,21,3,9
185,3,2,20,16,3,3
186,D,0,8,7,3,11
187,C,5,10,12,3,22
188,1,3,12,3,3,20
189,A,3,20,10,3,13
190,D,6,1,6,3,5
191,Q,5,21,19,3,5
192,N,6,10,20,3,2
193,F,4,21,18,3,9
194,Q,0,12,7,3,7
195,A,5,4,12,3,3
196,D,3,12,17,3,15
197,D,6,15,13,3,5
198,3,5,4,5,3,2
199,A,6,0,13,3,7
200,C,1,20,15,3,12
201,3,2,5,2,3,2
202,N,1,20,29,3,7
203,R,2,0,2,3,6
204,Z,1,6,15,3,1
205,E,3,8,3,3,15
206,2,0,18,28,3,3
207,L,2,21,2,3,5
208,4,3,9,10,3,1
209,N,3,9,31,3,4
210,1,0,0,7,3,6
211,F,4,5,4,3,4
212,2,5,8,19,3,7
213,N,5,10,19,3,9
214,5,5,16,5,3,3
215,M,1,18,22,3,10
216,F,5,5,5,3,4
217,C,1,9,8,3,19
218,J,4,12,4,3,1
219,6,2,1,2,3,4
220,2,1,11,1,3,2
221,2,3,22,10,3,5
222,L,4,10,18,3,3
223,F,6,23,27,3,4
224,6,1,19,15,3,14
225,5,0,21,28,3,2
226,1,3,16,31,3,16
227,G,2,15,23,3,1
228,3,4,17,18,3,2
229,E,2,22,30,3,13
230,4,3,1,17,3,1
231,F,5,6,5,3,5
232,Z,2,8,9,3,1
233,N,3,5,10,3,2
234,7,2,7,9,3,3
235,Q,5,7,19,3,2
236,D,2,14,9,3,4
237,1,5,0,5,3,17
238,3,4,19,18,3,4
239,A,0,23,14,3,12
240,E,4,11,11,3,9
241,R,5,21,5,3,14
242,N,3,19,24,3,14
243,M,0,22,7,3,16
244,3,2,8,9,3,3
245,2,3,16,24,3,3
246,E,6,16,13,3,11
247,1,3,20,31,3,17
248,GS,4,4,11,3,1
249,N,4,1,4,3,6
250,M,6,13,27,3,10
251,M,5,18,12,3,13
252,C,4,13,25,3,25
253,5,1,0,22,3,1
254,5,2,13,9,3,6
255,2,2,7,23,3,1
256,6,0,9,14,3,13
257,2,6,9,6,3,3
258,F,1,16,8,3,14
259,1,3,0,3,3,4
260,5,3,9,24,3,3
261,7,3,3,3,3,2
262,D,3,6,10,3,8
263,Q,1,14,15,3,9
264,N,5,2,5,3,5
265,D,5,16,26,3,5
266,4,4,13,18,3,3
267,C,5,12,5,3,44
268,R,6,3,20,3,5
269,Q,0,15,28,3,12
270,C,2,13,2,3,17
271,GS,0,18,14,3,1
272,E,3,18,10,3,9
