,line,day_of_week,hour,day,month,count
0,L,5,13,7,5,5
1,E,4,20,6,5,12
2,5,3,14,19,5,2
3,C,6,13,29,5,23
4,G,4,1,13,5,1
5,Q,0,12,30,5,8
6,F,6,12,1,5,24
7,M,2,11,11,5,12
8,D,2,0,11,5,3
9,M,3,21,26,5,10
10,F,5,6,14,5,4
11,D,5,0,14,5,5
12,N,5,8,14,5,9
13,R,5,8,14,5,10
14,D,4,1,6,5,3
15,R,6,7,22,5,2
16,C,6,12,22,5,20
17,C,5,14,7,5,36
18,5,1,13,10,5,1
19,L,2,18,25,5,4
20,M,5,22,7,5,13
21,2,5,10,28,5,3
22,C,5,6,7,5,5
23,R,0,11,16,5,14
24,3,6,1,15,5,5
25,6,6,18,15,5,9
26,N,3,18,12,5,13
27,1,6,22,8,5,10
28,5,0,22,16,5,3
29,R,3,20,12,5,8
30,6,4,4,27,5,8
31,1,2,7,11,5,12
32,Q,6,19,1,5,9
33,E,1,3,10,5,1
34,C,6,10,22,5,20
35,M,4,19,27,5,13
36,F,6,9,22,5,5
37,D,4,0,13,5,2
38,7,1,16,31,5,1
39,E,1,2,31,5,2
40,L,3,13,19,5,2
41,A,3,20,5,5,13
42,R,0,20,9,5,14
43,1,0,0,30,5,13
44,D,2,16,11,5,5
45,7,2,17,11,5,1
46,R,3,2,12,5,5
47,D,5,16,14,5,4
48,R,0,15,30,5,12
49,5,4,14,20,5,1
50,D,4,17,6,5,3
51,F,4,16,13,5,3
52,N,6,18,15,5,11
53,G,5,3,14,5,1
54,5,4,3,27,5,1
55,A,3,14,19,5,9
56,7,1,2,17,5,1
57,Q,6,23,1,5,8
58,L,4,15,20,5,1
59,2,1,1,3,5,3
60,R,1,20,10,5,16
61,F,6,8,29,5,1
62,6,2,14,11,5,10
63,F,2,19,18,5,6
64,3,2,9,25,5,2
65,M,2,8,18,5,15
66,C,4,12,20,5,16
67,1,5,16,21,5,19
68,5,4,3,13,5,2
69,L,2,3,18,5,3
70,2,4,2,27,5,4
71,Q,5,21,14,5,7
72,D,4,16,13,5,1
73,7,0,6,2,5,2
74,A,1,16,31,5,9
75,A,3,4,5,5,1
76,L,4,11,20,5,1
77,L,6,21,8,5,2
78,R,1,5,17,5,1
79,M,5,20,7,5,16
80,1,0,7,9,5,7
81,3,5,1,28,5,4
82,F,0,23,16,5,5
83,N,1,13,31,5,12
84,E,6,9,29,5,5
85,C,3,12,19,5,16
86,1,4,5,13,5,3
87,2,3,14,12,5,1
88,R,1,17,17,5,12
89,R,1,4,10,5,1
90,M,4,3,13,5,3
91,F,1,12,10,5,16
92,3,0,0,2,5,3
93,S,6,10,8,5,1
94,L,0,15,16,5,1
95,2,1,19,3,5,1
96,R,5,23,21,5,1
97,C,4,17,13,5,10
98,J,2,20,25,5,1
99,A,5,8,21,5,4
100,M,0,22,30,5,5
101,4,1,13,17,5,1
102,D,3,20,26,5,11
103,N,4,21,6,5,4
104,C,5,20,7,5,29
105,Z,6,17,22,5,1
106,Q,6,7,1,5,3
107,E,0,15,9,5,12
108,4,0,6,23,5,1
109,F,6,1,8,5,18
110,M,5,4,7,5,5
111,6,2,19,4,5,15
112,2,6,8,1,5,4
113,N,6,18,1,5,14
114,5,1,20,31,5,2
115,6,5,14,28,5,9
116,M,6,15,15,5,16
117,J,6,19,8,5,1
118,N,3,3,5,5,2
119,3,3,9,12,5,5
120,6,6,23,22,5,5
121,C,4,21,13,5,14
122,Q,1,13,10,5,2
123,5,3,4,19,5,2
124,C,4,14,20,5,16
125,3,0,16,2,5,2
126,4,0,23,2,5,2
127,2,6,9,8,5,3
128,3,1,12,17,5,2
129,2,1,22,24,5,2
130,F,4,20,13,5,2
131,1,3,13,12,5,12
132,S,6,6,22,5,1
133,Q,1,14,3,5,3
