,line,day_of_week,hour,day,month,count
0,N,1,23,27,10,6
1,A,3,0,22,10,4
2,Q,3,22,29,10,4
3,R,2,0,21,10,9
4,F,1,6,20,10,6
5,F,5,0,31,10,9
6,C,5,7,10,10,17
7,GS,1,17,13,10,1
8,6,0,18,19,10,15
9,N,1,15,27,10,20
10,6,2,13,14,10,17
11,R,4,8,2,10,3
12,F,0,10,12,10,12
13,4,5,12,17,10,6
14,4,3,21,15,10,2
15,N,5,15,31,10,17
16,R,5,6,3,10,2
17,3,4,15,2,10,1
18,4,6,2,25,10,1
19,A,3,16,15,10,3
20,F,6,8,4,10,9
21,6,3,0,8,10,5
22,6,2,1,21,10,1
23,A,3,21,8,10,10
24,R,4,16,9,10,14
25,C,1,20,6,10,17
26,5,3,10,29,10,1
27,M,1,16,6,10,7
28,N,1,3,6,10,1
29,1,1,1,6,10,2
30,Z,6,10,4,10,1
31,6,5,1,31,10,11
32,Z,4,2,23,10,1
33,C,5,10,31,10,9
34,Q,3,7,29,10,2
35,Q,3,0,8,10,5
36,A,4,5,23,10,4
37,GS,2,12,21,10,1
38,A,6,6,18,10,1
39,L,3,17,15,10,2
40,4,3,6,1,10,3
41,A,4,21,30,10,6
42,G,1,23,20,10,1
43,F,1,3,27,10,1
44,GS,5,17,31,10,2
45,GS,2,21,21,10,1
46,C,1,13,20,10,8
47,L,6,19,4,10,1
48,2,3,4,29,10,3
49,7,3,15,22,10,1
50,R,5,8,31,10,10
51,F,3,17,15,10,9
52,M,2,14,14,10,4
53,5,6,16,25,10,3
54,N,3,20,8,10,13
55,4,4,14,16,10,7
56,N,2,4,14,10,1
57,A,2,2,7,10,1
58,Q,2,6,28,10,5
59,F,6,5,25,10,2
60,3,4,18,16,10,2
61,F,4,19,30,10,13
62,7,0,18,19,10,8
63,S,6,12,25,10,1
64,GS,5,7,3,10,1
65,D,0,3,5,10,1
66,3,4,2,9,10,1
67,6,5,19,10,10,28
68,2,1,4,27,10,1
69,6,6,18,18,10,13
70,F,1,21,6,10,6
71,5,1,17,20,10,5
72,N,5,3,10,10,6
73,F,5,13,3,10,12
74,1,5,18,10,10,21
75,7,5,21,10,10,4
76,Q,5,7,31,10,2
77,A,5,22,31,10,7
78,R,1,16,13,10,10
79,A,6,14,4,10,5
80,D,3,7,8,10,3
81,6,0,21,26,10,4
82,D,0,9,19,10,6
83,3,3,5,22,10,3
84,F,5,18,10,10,12
85,D,3,13,22,10,5
86,7,1,13,6,10,2
87,A,6,22,4,10,5
88,M,6,23,11,10,6
89,N,5,5,24,10,1
90,A,0,8,19,10,5
91,6,5,22,24,10,8
92,N,4,4,23,10,1
93,4,5,2,3,10,2
94,2,1,10,6,10,4
95,N,5,23,17,10,8
96,R,6,8,4,10,5
97,6,5,12,17,10,13
98,5,3,10,1,10,3
99,C,4,12,2,10,12
100,E,2,15,7,10,5
101,A,4,18,30,10,8
102,6,2,19,21,10,16
103,D,0,11,12,10,10
104,R,0,19,12,10,16
105,3,3,5,1,10,3
106,L,1,14,20,10,2
107,D,3,2,22,10,2
108,5,3,1,22,10,1
109,5,6,12,11,10,2
110,4,6,16,4,10,4
111,6,1,6,6,10,16
112,F,5,5,10,10,3
113,5,5,17,24,10,9
114,1,3,4,22,10,3
115,Q,4,10,16,10,3
116,D,1,11,6,10,6
117,R,2,16,7,10,6
118,Q,0,15,19,10,7
119,N,5,4,10,10,10
120,2,6,17,25,10,5
121,Q,3,19,29,10,11
122,6,5,16,10,10,13
123,6,3,3,8,10,3
124,Q,2,12,7,10,4
125,GS,1,19,6,10,3
126,R,3,7,8,10,4
127,4,6,21,25,10,5
128,C,4,16,23,10,12
129,GS,1,23,20,10,1
